place,title,time,pay,date
광주 서구,  (주)한국야쿠르트한국야쿠르트 상무지구 프레시매니저 모집[일6시간/급여160만원]스크랩요약보기새창보기,07:00~13:00,"월급1,600,000",16분전
광주 서구,  (주)한국야쿠르트한국야쿠르트 상무지구 프레시매니저 모집[일8시간/급여180만원]스크랩요약보기새창보기,07:00~16:00,"월급1,800,000",16분전
광주 서구,  (주)한국야쿠르트한국야쿠르트 상무지구 프레시매니저 모집[일8시간/급여180만원]스크랩요약보기새창보기,07:00~16:00,"월급1,800,000",16분전
광주 서구,  (주)한국야쿠르트한국야쿠르트 상무지구 프레시매니저 모집[일8시간/급여180만원]스크랩요약보기새창보기,07:00~16:00,"월급1,800,000",16분전
인천 서구,  (주)한국야쿠르트한국야쿠르트 신현점 매니저 모집스크랩요약보기새창보기,08:00~17:00,"월급2,150,000",58분전
경남 창원시,  (주)한국야쿠르트한국야쿠르트 (동진해점) 진해 신촌동 프레시매니저 모집스크랩요약보기새창보기,시간협의,"월급1,500,000",1시간전
경남 창원시,  (주)한국야쿠르트한국야쿠르트 (동진해점) 진해전지역 프레시매니저 모집스크랩요약보기새창보기,시간협의,"월급1,500,000",1시간전
경남 진주시,  (주)한국야쿠르트[경상점]한국야쿠르트 프레시 매니저 모집(진주 본성동 주변)스크랩요약보기새창보기,07:00~14:00,"월급1,600,000",1시간전
경남 하동군,  (주)한국야쿠르트[경남하동]한국야쿠르트 프래시 매니저 모집(하동군 면소재지-거주지 우선 배정스크랩요약보기새창보기,07:00~10:00,"월급1,000,000",1시간전
경남 하동군,  (주)한국야쿠르트[하동군 하동읍]한국야쿠르트 프래시 매니저 모집(하동읍 관할)스크랩요약보기새창보기,07:00~16:00,"월급2,500,000",1시간전
경남 남해군,  (주)한국야쿠르트[경남남해]한국야쿠르트 프래시 매니저 모집(남해군 면소재지-거주지 우선 배정스크랩요약보기새창보기,07:00~10:00,"월급1,000,000",1시간전
경남 남해군,  (주)한국야쿠르트[남해군]한국야쿠르트 프래시 매니저 모집(남해군 창선면 등)스크랩요약보기새창보기,07:00~10:00,"월급1,000,000",1시간전
경남 사천시,  (주)한국야쿠르트[사천읍]한국야쿠르트 프래시 매니저 모집(사천읍 주변)스크랩요약보기새창보기,07:00~10:00,"월급1,200,000",1시간전
경남 사천시,  (주)한국야쿠르트[사천시 주변 면소재지]한국야쿠르트 프래시 매니저 모집(거주시 우선 배정)스크랩요약보기새창보기,07:00~10:00,"월급1,200,000",1시간전
경남 사천시,"  (주)한국야쿠르트[사천시]한국야쿠르트 프래시 매니저 모집(사천시 곤양면, 곤명면, 축동면)스크랩요약보기새창보기",07:00~10:00,"월급1,000,000",1시간전
경남 진주시,  (주)한국야쿠르트[상평점]한국야쿠르트 프래시 매니저 모집(진주 가좌동 제일풍경채 및 경대주변스크랩요약보기새창보기,07:00~11:00,"월급1,500,000",1시간전
경남 진주시,  (주)한국야쿠르트[경상점]한국야쿠르트 프레시 매니저 모집(진주 남강 휴먼빌 주변)스크랩요약보기새창보기,07:00~10:00,"월급1,200,000",1시간전
경남 진주시,  (주)한국야쿠르트[서진주점]한국야쿠르트 프래시 매니저 모집(평거동)스크랩요약보기새창보기,07:00~11:00,"월급1,500,000",1시간전
경남 진주시,  (주)한국야쿠르트[서진주점]한국야쿠르트 프래시 매니저 모집(신안동)스크랩요약보기새창보기,07:00~11:00,"월급1,500,000",1시간전
경남 진주시,  (주)한국야쿠르트[서진주점]한국야쿠르트 프래시 매니저 모집(이현동)스크랩요약보기새창보기,07:00~11:00,"월급1,500,000",1시간전
경남 진주시,  (주)한국야쿠르트[진양점]한국야쿠르트 프래시 매니저 모집(진주시 면단위 소재지-거주지 활동)스크랩요약보기새창보기,07:00~10:00,"월급1,200,000",1시간전
