place,title,time,pay,date
광주 서구,  신세계 광주FS나이키 광주신세계(B1) 정규직 판매사원 채용(경력급여+a) [주5일제]스크랩요약보기새창보기,10:00~20:30,"월급1,980,000",53분전
서울 영등포,  (주)대연나이키 더현대서울점 평일 파트타이머 채용(4시간 근무)(사진 첨부 필)스크랩요약보기새창보기,시간협의,"시급8,720",1시간전
경기 부천시,  부천스타필드나이키[주5.5일] 부천스타필드 나이키 정규직 판매사원 모집스크랩요약보기새창보기,10:00~22:00,"월급2,050,000",2시간전
경기 이천시,  경기 이천점 나이키나이키 이천점평일판매사원 채용스크랩요약보기새창보기,17:00~20:30,"시급9,000",3시간전
경기 이천시,  경기 이천점 나이키나이키 이천점정규직 판매사원 채용(경력급여 a)[1주2회 휴무]스크랩요약보기새창보기,10:00~21:00,"월급2,030,000",3시간전
부산 해운대,  신세계 센텀신세계 센텀시티몰 나이키 정규직[주 5일 근무]스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",4시간전
광주 서구,  (주)대연나이키 광주 세정아웃렛 (정규직 판매사원 채용)스크랩요약보기새창보기,10:30~21:00,"월급1,950,000",4시간전
경기 부천시,  부천스타필드나이키[주5.5일] 부천스타필드 나이키 정규직 판매사원 모집스크랩요약보기새창보기,10:00~22:00,"월급2,050,000",5시간전
인천 연수구,  나이키스퀘어원 나이키에서  정직원 구합니다스크랩요약보기새창보기,시간협의,"월급2,050,000",6시간전
경기 하남시,  스타필드 신세계 하남 나이키스타필드 신세계 하남 나이키(주5.5일) 매장 정규직 판매사원 채용스크랩요약보기새창보기,00:00~24:00,"월급2,050,000",6시간전
충남 천안시,  모다아울렛천안나이키 모다아울렛천안점  정규직 모집(주5일)스크랩요약보기새창보기,11:00~21:00,"월급2,000,000",6시간전
충남 천안시,  갤러리아 센터시티 나이키갤러리아 천안 나이키스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",7시간전
광주 서구,  신세계 광주FS나이키 광주신세계(B1) 정규직 판매사원 채용(경력급여+a) [주5일제]스크랩요약보기새창보기,10:00~20:30,"월급1,980,000",7시간전
충남 천안시,  모다아울렛천안나이키 모다아울렛천안점  정규직 모집(주5일)스크랩요약보기새창보기,11:00~21:00,"월급2,000,000",16시간전
충남 천안시,  모다아울렛천안나이키 모다아울렛천안점  정규직 모집(주5일)스크랩요약보기새창보기,11:00~21:00,"월급2,000,000",04/04
대구 전체,  동성로타운동성로 나이키타운 정규직 채용(주5일)스크랩요약보기새창보기,11:00~22:00,"월급2,030,000",04/04
대전 동구,  대전스타일마켓나이키 스타일마켓 대전점 직원채용 [주5일제]스크랩요약보기새창보기,10:30~21:00,"월급1,980,000",04/04
경남 김해시,  신세계김해나이키 신세계 김해점 정규직 판매사원 채용 [1주2회 휴무]스크랩요약보기새창보기,10:00~20:30,"월급1,980,000",04/03
인천 서구,  인천모다나이키 모다아울렛 인천점 열정있는 정규직 판매사원 채용[주 5일근무]스크랩요약보기새창보기,10:00~20:30,"월급2,000,000",04/03
충남 천안시,  갤러리아 센터시티 나이키갤러리아 천안 나이키스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",04/03
경기 하남시,  스타필드 하남 나이키스타필드 하남점 나이키 바스켓볼 정규직 판매사원  채용(주5일)스크랩요약보기새창보기,10:00~22:00,"월급2,050,000",04/02
경기 하남시,  신세계하남점 나이키 킥스라운지나이키  신세계백화점 하남점 정규직 판매사원 채용(주5일)스크랩요약보기새창보기,10:30~21:00,"월급1,980,000",04/02
충남 천안시,  갤러리아 센터시티 나이키갤러리아 천안 나이키스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",04/02
광주 서구,  신세계 광주FS나이키 광주신세계(B1) 정규직 판매사원 채용(경력급여+a) [주5일제]스크랩요약보기새창보기,10:00~20:30,"월급1,980,000",04/01
경기 이천시,  경기 이천점 나이키나이키 이천점평일판매사원 채용스크랩요약보기새창보기,17:00~20:30,"시급9,000",04/01
서울 마포구,  홍대SNKRS나이키 스니커즈 홍대 (SNKRS) 전세계 최초 스니커즈 컨셉 나이키 스토어스크랩요약보기새창보기,시간협의,"월급2,030,000",03/31
서울 서초구,  (주)대연신세계 강남점 나이키스포츠 정규직원 채용스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",03/31
경기 이천시,  경기 이천점 나이키나이키 이천점평일판매사원 채용스크랩요약보기새창보기,17:00~20:30,"시급9,000",03/29
경기 하남시,  스타필드 하남 나이키스타필드 하남점 나이키 바스켓볼 정규직 판매사원  채용(주5일)스크랩요약보기새창보기,10:00~22:00,"월급2,050,000",03/27
충남 천안시,  갤러리아 센터시티 나이키갤러리아 천안 나이키스크랩요약보기새창보기,10:00~20:00,"월급1,980,000",03/24
대구 전체,  동성로타운동성로 나이키타운 정규직 채용(주5일)스크랩요약보기새창보기,11:00~22:00,"월급2,030,000",03/24
충북 제천시,  (주)대연나이키 제천점 정규직 판매사원 채용 (주 5일)스크랩요약보기새창보기,시간협의,"월급2,030,000",03/21
