place,title,time,pay,date
서울 서초구,  신세계백화점 강남점딜리버리서비스(상품운반) 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급8,800",3분전
경기 용인시,  신세계 경기점신세계 백화점 경기점 파트너센터 아르바이트 채용스크랩요약보기새창보기,10:00~18:00,"시급8,800",17분전
서울 전체,  신세계백화점 본점아카데미 강의세팅 아르바이트 모집스크랩요약보기새창보기,10:00~18:00,"시급8,800",20분전
서울 전체,  신세계백화점 본점VIP라운지 아르바이트 모집스크랩요약보기새창보기,10:00~18:00,"시급8,800",20분전
서울 전체,  신세계백화점 본점VIP라운지 탕비실 지원 아르바이트 모집스크랩요약보기새창보기,11:30~19:30,"시급8,800",22분전
서울 서초구,  신세계백화점 강남점발열체크 아르바이트 모집스크랩요약보기새창보기,10:00~18:00,"시급8,800",27분전
서울 서초구,  신세계백화점 강남점포터서비스(상품운반) 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급8,800",04/04
서울 서초구,  신세계백화점 본사사무보조 아르바이트 모집스크랩요약보기새창보기,09:00~17:00,"시급8,800",04/04
대구 동구,  신세계백화점 대구점유아휴게실(리틀라운지) 아르바이트 모집스크랩요약보기새창보기,10:00~18:00,"시급8,800",04/03
경기 전체,  신세계 경기점상품 운반/진열 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급8,800",04/02
경남 김해시,  신세계백화점 김해점게이트 발열체크 아르바이트 모집스크랩요약보기새창보기,11:00~19:00,"시급8,800",04/01
서울 전체,  신세계백화점 본점포터서비스 아르바이트 모집스크랩요약보기새창보기,12:00~20:00,"시급8,800",03/24
서울 서초구,  신세계백화점 강남점라운지주방 아르바이트 모집스크랩요약보기새창보기,09:30~17:30,"시급8,800",03/23
서울 서초구,  신세계백화점 강남점POS포장 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급8,800",03/23
부산 해운대,  신세계백화점 센텀시티점GATE 발열체크 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급8,800",03/22
