place,title,time,pay,date
서울 강서구,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 여의도점 매장 와인판매 알바 모집(경력우대,주말)스크랩요약보기새창보기",13:00~21:00,"일급85,000",58분전
서울 영등포,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 여의도점 매장 와인판매 알바 모집(경력우대,주말)스크랩요약보기새창보기",13:00~21:00,"일급85,000",58분전
서울 양천구,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 여의도점 매장 와인판매 알바 모집(경력우대,주말)스크랩요약보기새창보기",13:00~21:00,"일급85,000",58분전
경기 파주시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
경기 파주시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
경기 고양시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
경기 김포시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주아울렛점 매장 와인 알바 모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
서울 영등포,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",4시간전
서울 양천구,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",4시간전
서울 전체,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",4시간전
경기 이천시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 여주아울렛점 평일 와인진열 알바모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
경기 여주시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 여주아울렛점 평일 와인진열 알바모집(교통비지급)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
서울 강남구,"  (주)신세계엘앤비[신세계엘앤비] 와인앤모어 청담점 와인판매 고정스탭 모집(매주 금,토)스크랩요약보기새창보기",13:00~21:00,"일급85,000",4시간전
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
서울 강동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",4시간전
경기 김포시,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주점 매장 와인진열,판매 알바 모집(교통비지급)스크랩요약보기새창보기",13:00~21:00,"일급85,000",4시간전
경기 고양시,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주점 매장 와인진열,판매 알바 모집(교통비지급)스크랩요약보기새창보기",13:00~21:00,"일급85,000",4시간전
경기 파주시,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주점 매장 와인진열,판매 알바 모집(교통비지급)스크랩요약보기새창보기",13:00~21:00,"일급85,000",4시간전
경기 파주시,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주점 매장 와인진열,판매 알바 모집(교통비지급)스크랩요약보기새창보기",13:00~21:00,"일급85,000",4시간전
서울 전체,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",5시간전
서울 양천구,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",5시간전
서울 영등포,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",5시간전
서울 강서구,  (주)신세계엘앤비[신세계L&B] 이마트목동점 와인판촉 알바모집(4월/총 주말위주 6일근무)스크랩요약보기새창보기,12:00~20:00,"일급85,000",5시간전
서울 양천구,  (주)신세계엘앤비[신세계L&B] 이마트목동점 와인판촉 알바모집(4월/총 주말위주 6일근무)스크랩요약보기새창보기,12:00~20:00,"일급85,000",6시간전
서울 영등포,  (주)신세계엘앤비[신세계L&B] 이마트목동점 와인판촉 알바모집(4월/총 주말위주 6일근무)스크랩요약보기새창보기,12:00~20:00,"일급85,000",6시간전
경기 화성시,  (주)신세계엘앤비[신세계L&B] 이마트 동탄점 와인판촉 행사자 모집(4월)스크랩요약보기새창보기,12:00~21:00,"일급85,000",6시간전
서울 강동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",7시간전
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",7시간전
서울 성동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",7시간전
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",7시간전
서울 동대문,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",7시간전
경기 고양시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 일렉트로마트 고양점 주류 판매/진열보조 알바 모집스크랩요약보기새창보기,13:00~21:00,"일급85,000",7시간전
경기 고양시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 일렉트로마트 고양점 주류 판매/진열보조 알바 모집스크랩요약보기새창보기,13:00~21:00,"일급85,000",7시간전
경기 고양시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 일렉트로마트 고양점 주류 판매/진열보조 알바 모집스크랩요약보기새창보기,13:00~21:00,"일급85,000",7시간전
경기 하남시,  (주)신세계엘앤비[신세계L&B] 와인앤모어 스타필드위례점 와인시음 단기알바 모집스크랩요약보기새창보기,12:00~20:00,"일급85,000",8시간전
경기 파주시,"  (주)신세계엘앤비[신세계L&B] 와인앤모어 파주점 매장 와인진열,판매 알바 모집(교통비지급)스크랩요약보기새창보기",13:00~21:00,"일급85,000",15시간전
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",20시간전
서울 강동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",20시간전
서울 영등포,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",04/04
서울 양천구,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",04/04
서울 전체,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",04/04
서울 동대문,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/04
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/04
서울 성동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/04
서울 송파구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 올림픽점 매장 와인판매 알바 모집(경력우대)스크랩요약보기새창보기,13:00~21:00,"일급85,000",04/04
서울 전체,  (주)신세계엘앤비[신세계L&B] 신세계백화점 타임스퀘어점  와인판매 알바모집스크랩요약보기새창보기,11:00~20:00,"일급85,000",04/02
서울 성동구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/02
서울 광진구,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/02
서울 동대문,  (주)신세계엘앤비[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일)스크랩요약보기새창보기,14:00~22:00,"일급85,000",04/02
