place,title,time,pay,date
서울 영등포,"  (주)우아한청년들[기간제/꿀알바/관악, 영등포지역] 배달의 민족 B마트 서포팅크루 모집스크랩요약보기새창보기",12:00~21:00,"시급9,000",6시간전
서울 성동구,"  (주)우아한청년들[기간제/꿀알바/마포, 용산지역] 배달의 민족 B마트 서포팅크루 모집스크랩요약보기새창보기",12:00~21:00,"시급9,000",6시간전
경기 수원시,"  (주)우아한청년들[기간제/3~6개월/수원시] B마트 차량배달 파트타임, 풀타임 배송원 모집스크랩요약보기새창보기",시간협의,"시급9,000",22시간전
서울 성동구,"  (주)우아한청년들[기간제/꿀알바/마포, 용산지역] 배달의 민족 B마트 서포팅크루 모집스크랩요약보기새창보기",12:00~21:00,"시급9,000",04/04
서울 은평구,  (주)우아한청년들[기간제/6개월/은평구] B마트 차량배달 풀타임 배송원 모집스크랩요약보기새창보기,시간협의,"시급9,000",03/30
서울 강남구,  (주)우아한청년들[기간제/3개월/강남구] B마트 차량배달 파트타임 배송원 모집스크랩요약보기새창보기,시간협의,"시급9,000",03/30
서울 성동구,  (주)우아한청년들[배달의민족/B마트 성동점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/30
서울 도봉구,  (주)우아한청년들[배달의민족/B마트 도봉쌍문점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/30
서울 관악구,  (주)우아한청년들[배달의민족/B마트 관악서울대점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/30
서울 강남구,  (주)우아한청년들[배달의민족/B마트 강남논현점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/30
서울 송파구,  (주)우아한청년들[배달의민족/B마트 송파점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/26
경기 성남시,  (주)우아한청년들[배달의민족/B마트 분당점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/26
서울 서초구,  (주)우아한청년들[배달의민족/B마트 서초교대점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/26
서울 강남구,  (주)우아한청년들[배달의민족/B마트 강남삼성점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/26
서울 관악구,  (주)우아한청년들[배달의민족/B마트 관악신림점/입사자 20만원 지급] 피/패킹 크루 모집스크랩요약보기새창보기,00:00~24:00,"시급8,720",03/26
