place,title,time,pay,date
서울 강남구,  현대백화점[현대백화점] 본점 VIP라운지 (자스민) 직영 아르바이트 채용스크랩요약보기새창보기,09:30~19:30,"시급10,245",11분전
서울 강남구,  현대백화점[현대백화점] 본점 VIP라운지 (자스민) 직영 아르바이트 채용스크랩요약보기새창보기,09:30~19:30,"시급10,245",11분전
서울 강남구,  현대백화점[현대백화점] 압구정본점 판매기획팀 통합 아르바이트 채용스크랩요약보기새창보기,09:00~19:00,"시급8,800",12분전
서울 강남구,  현대백화점[현대백화점] 압구정본점 판매기획팀 통합 아르바이트 채용스크랩요약보기새창보기,09:00~19:00,"시급8,800",12분전
울산 남구,  현대백화점회원서비스센터 TM 아르바이트 모집스크랩요약보기새창보기,13:00~17:00,"시급8,800",24분전
서울 영등포,  더현대서울[더현대서울] 현대백화점 전시장 안내 아르바이트 모집스크랩요약보기새창보기,시간협의,"시급8,800",37분전
서울 강남구,  현대백화점 무역센터점[현대백화점 무역센터점] 자스민라운지 홀서빙 아르바이트 모집스크랩요약보기새창보기,10:30~18:30,"시급10,064",1시간전
경기 부천시,  현대백화점 중동점[단기] 현대백화점 중동점 식품관 아르바이트 모집스크랩요약보기새창보기,11:30~20:30,"시급8,800",2시간전
서울 강남구,  현대백화점 무역센터점[현대백화점 무역센터점] 검품 및 파우치 아르바이트 모집스크랩요약보기새창보기,10:00~19:00,"시급8,800",2시간전
서울 강동구,  현대백화점 천호점현대백화점 천호점 e커머스 온라인 사무보조 (사진첨부필수)스크랩요약보기새창보기,09:00~18:00,"시급8,800",3시간전
경기 김포시,  현대프리미엄아울렛 김포점사은행사 아르바이트 / 장기알바 / 주4일 / 현대프리미엄아울렛 김포점스크랩요약보기새창보기,12:00~21:30,"시급8,800",3시간전
충북 청주시,  현대백화점 충청점[꿀알바] 현대백화점 충청점 장기 아르바이트 구인스크랩요약보기새창보기,14:00~18:30,"시급8,800",5시간전
서울 강남구,  한무쇼핑(주)[현대백화점 무역센터점] 사은데스크 주5일 스케줄 아르바이트 모집스크랩요약보기새창보기,10:00~19:30,"시급8,800",9시간전
서울 강동구,  현대백화점 천호점천호점 영패션팀 이커머스  (사진첨부필수)스크랩요약보기새창보기,09:00~18:00,"시급8,800",15시간전
경기 성남시,  현대백화점 판교점[단기3개월] 현대백화점판교점 라운지 바리스타 주5일 아르바이트 모집합니다.스크랩요약보기새창보기,10:00~19:30,"시급10,000",04/04
서울 구로구,  현대백화점[주5일] 현대백화점디큐브시티 온라인배송(접수) 남자 아르바이트 모집스크랩요약보기새창보기,10:00~17:00,"시급8,800",04/04
경기 고양시,"  현대백화점 킨텍스점[킨텍스점] 카톡 플친 채널 신규 고객 모집 룰렛 운영 보조 (금,토,일)스크랩요약보기새창보기",10:00~19:30,"시급8,800",04/03
충북 청주시,  현대백화점 충청점[급구] 현대백화점 충청점 장기 아르바이트 구인스크랩요약보기새창보기,10:00~19:30,"시급8,800",04/02
서울 강남구,  현대백화점 무역센터점[현대백화점 무역센터점] 푸드코트 앞 방역 주말아르바이트 모집스크랩요약보기새창보기,10:30~20:00,"시급8,800",04/01
서울 성북구,  현대백화점 미아점미아점 현대백화점 사은데스크 여자아르바이트 모집합니다스크랩요약보기새창보기,10:00~19:30,"시급8,800",03/29
경기 성남시,  현대백화점 판교점[단기3개월] 현대백화점판교점 라운지 바리스타 주5일 아르바이트 모집합니다.스크랩요약보기새창보기,10:00~19:30,"시급10,000",03/21
