place,title,time,pay,date
경남 창원시,  홍대개미 창원점홍대개미상남점 서빙구합니다스크랩요약보기새창보기,시간협의,"시급8,720",29분전
경남 김해시,  (주)포베이김해 롯데 아울렛 포베이 평일 및 주말 파트타임 채용합니다스크랩요약보기새창보기,10:00~21:00,"시급9,000",1시간전
부산 부산진,  홍대개미 롯대백화점 부산본점[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집스크랩요약보기새창보기,10:00~20:00,"월급1,850,000",1시간전
서울 강남구,  홍대개미 파르나스몰점[홍대개미 파르나스몰점] 주5일 주방 정직원 모십니다.스크랩요약보기새창보기,10:00~22:00,"월급2,100,000",1시간전
광주 서구,  홍대개미상무점홍대개미상무점 주6일 주방 직원구함 (250만원)스크랩요약보기새창보기,09:30~21:00,"월급2,500,000",2시간전
경기 안산시,  홍대개미안산 홍대개미 아르바이트 모집(주 2일~3일 근무)스크랩요약보기새창보기,10:00~17:00,"시급8,720",2시간전
서울 강남구,  홍대개미 강남역점홍대개미 강남역점 주5일 정직원 모집합니다스크랩요약보기새창보기,10:00~20:00,"월급2,100,000",2시간전
부산 북구,  홍대개미 덕천점홍대개미 덕천점 주방 정직원 모집스크랩요약보기새창보기,09:30~21:00,"월급2,200,000",2시간전
부산 부산진,  홍대개미 롯대백화점 부산본점[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집스크랩요약보기새창보기,10:00~20:00,"월급1,850,000",3시간전
광주 서구,  홍대개미 신세계백화점 광주점[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집스크랩요약보기새창보기,11:00~20:00,"월급1,850,000",4시간전
경기 안양시,  홍대개미 범계점홍대개미 범계점 주5일 주방 직원 모집스크랩요약보기새창보기,10:00~21:30,"월급2,200,000",4시간전
경기 안양시,  홍대개미 범계점홍대개미 범계점 주5일 주방 직원 모집스크랩요약보기새창보기,10:00~21:30,"월급2,200,000",4시간전
경기 안양시,  홍대개미 범계점홍대개미 범계점 주5일 주방 직원 모집스크랩요약보기새창보기,10:00~21:30,"월급2,200,000",4시간전
경기 안양시,  홍대개미 범계점홍대개미 범계점 주5일 주방 직원 모집스크랩요약보기새창보기,10:00~21:30,"월급2,200,000",4시간전
경기 안양시,  홍대개미 범계점홍대개미 범계점 주5일 주방 직원 모집스크랩요약보기새창보기,10:00~21:30,"월급2,200,000",4시간전
경기 안산시,  홍대개미안산 홍대개미  주방 직원  모집스크랩요약보기새창보기,10:00~22:00,"월급2,650,000",4시간전
경기 안산시,  홍대개미안산 홍대개미  주방 직원  모집스크랩요약보기새창보기,10:00~22:00,"월급2,650,000",4시간전
경기 안산시,  홍대개미안산 홍대개미  주방 직원  모집스크랩요약보기새창보기,10:00~22:00,"월급2,650,000",4시간전
경기 안산시,  홍대개미안산 홍대개미  주방 직원  모집스크랩요약보기새창보기,10:00~22:00,"월급2,650,000",4시간전
부산 부산진,  홍대개미 롯대백화점 부산본점[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집스크랩요약보기새창보기,10:00~20:00,"월급1,850,000",5시간전
광주 서구,  홍대개미 신세계백화점 광주점[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집스크랩요약보기새창보기,11:00~20:00,"월급1,850,000",5시간전
부산 해운대,  홍대개미 신세계백화점센텀시티점[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집스크랩요약보기새창보기,09:00~19:00,"월급1,850,000",5시간전
서울 용산구,  홍대개미 서울역사점[홍대개미 서울역사점] 주5일 근무 주방 정직원스크랩요약보기새창보기,11:30~21:30,"월급1,850,000",5시간전
부산 부산진,  홍대개미 롯대백화점 부산본점[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집스크랩요약보기새창보기,10:00~20:00,"월급1,850,000",5시간전
서울 강남구,  [홍대개미] 파르나스몰점[월215만/주5일]홍대개미 본사직영 파르나스점 주방직원모집스크랩요약보기새창보기,10:00~20:00,"월급2,150,000",6시간전
서울 중구,  홍대개미신세계백화점본점[홍대개미 신세계백화점 본점] 주4일/주방 파트타임 모집스크랩요약보기새창보기,11:00~20:00,"시급8,720",6시간전
부산 북구,  홍대개미 덕천점홍대개미 덕천점 주방 정직원 모집스크랩요약보기새창보기,09:30~21:00,"월급2,200,000",6시간전
부산 해운대,  홍대개미 신세계백화점센텀시티점[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집스크랩요약보기새창보기,09:00~19:00,"월급1,850,000",6시간전
서울 전체,  홍대개미 공덕점홍대개미 공덕점 주방 직원 모집(주5일)스크랩요약보기새창보기,시간협의,"월급1,850,000",7시간전
서울 중구,  홍대개미신세계백화점본점[홍대개미 신세계백화점 본점] 주4일/주방 파트타임 모집스크랩요약보기새창보기,11:00~20:00,"시급8,720",7시간전
광주 서구,  홍대개미상무점홍대개미상무점 주6일 주방 직원구함 (250만원)스크랩요약보기새창보기,09:30~21:00,"월급2,500,000",7시간전
광주 서구,  홍대개미상무점홍대개미상무점 주6일 주방 직원구함 (250만원)스크랩요약보기새창보기,09:30~21:00,"월급2,500,000",7시간전
서울 전체,  홍대개미 공덕점홍대개미 공덕점 주방 직원 모집(주5일)스크랩요약보기새창보기,시간협의,"월급1,850,000",8시간전
광주 서구,  홍대개미 신세계백화점 광주점[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집스크랩요약보기새창보기,11:00~20:00,"월급1,850,000",21시간전
서울 전체,  홍대개미 공덕점홍대개미 공덕점 주방 직원 모집(주5일)스크랩요약보기새창보기,시간협의,"월급1,850,000",04/04
광주 서구,  홍대개미상무점홍대개미상무점 주6일 주방 직원구함 (250만원)스크랩요약보기새창보기,10:00~21:00,"월급2,500,000",04/03
광주 서구,  홍대개미 신세계백화점 광주점[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집스크랩요약보기새창보기,11:00~20:00,"월급1,850,000",04/02
경남 창원시,  홍대개미 창원점홍대개미상남점 주방/서빙 모집합니다스크랩요약보기새창보기,시간협의,"월급2,500,000",04/02
서울 강남구,  홍대개미 강남역점홍대개미 강남역점 주5일 정직원 모집합니다스크랩요약보기새창보기,10:00~20:00,"월급2,100,000",04/02
서울 전체,  홍대개미 공덕점홍대개미 공덕점 주방 직원 모집(주5일)스크랩요약보기새창보기,시간협의,"월급1,850,000",04/02
부산 북구,  홍대개미 덕천점홍대개미 덕천점 주방 정직원 모집스크랩요약보기새창보기,09:30~21:00,"월급2,200,000",03/31
경기 안성시,  홍대개미 스타필드 안성[시급9000원/주말] 홍대개미 스타필드 안성점 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 안성시,  홍대개미 스타필드 안성[시급9000원/주말] 홍대개미 스타필드 안성점 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 평택시,  홍대개미 스타필드 안성[시급9000원/주말] 홍대개미 스타필드 안성점 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 평택시,  홍대개미 스타필드 안성[시급9000원/주말] 홍대개미 스타필드 안성점 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 평택시,  홍대개미 스타필드 안성[시급9000원/주말] 홍대개미 스타필드 안성점 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 안성시,  홍대개미 스타필드 안성점[시급9000원 주말] 홍대개미 스타필드 안성 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 안성시,  홍대개미 스타필드 안성점[시급9000원 주말] 홍대개미 스타필드 안성 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 평택시,  홍대개미 스타필드 안성점[시급9000원 주말] 홍대개미 스타필드 안성 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
경기 평택시,  홍대개미 스타필드 안성점[시급9000원 주말] 홍대개미 스타필드 안성 파트타이머 급구스크랩요약보기새창보기,시간협의,"시급9,000",03/29
