place,title,time,pay,date
서울 관악구,  CU 관악드림점평일오전스크랩요약보기새창보기,08:00~15:00,"시급8,720",1분전
인천 서구,  CU 가좌공단점CU편의점/낮 근무 1명 + 야간 1명/서구 가좌동스크랩요약보기새창보기,시간협의,"시급8,720",2분전
서울 서대문,  CU 연세치과병원점CU연세치과병원점 주말 오전 스태프(07:30~13:30) 1명 모집합니다.스크랩요약보기새창보기,07:30~13:30,"시급8,720",2분전
경기 하남시,"  CU 미사힐스테이트점CU 미사힐스테이트점(직영점) 금,토  야간근무자 모집 (주휴수당,야간수당)스크랩요약보기새창보기",23:00~08:00,"시급8,720",2분전
서울 강남구,  CU 역삼하나점주말오후(일요일 하루) 스태프구합니다스크랩요약보기새창보기,15:00~22:00,"시급8,720",2분전
인천 서구,  CU 불로캉가루점CU불로캉가루점 고용점장님 구합니다.스크랩요약보기새창보기,08:00~18:00,"월급1,900,000",2분전
인천 서구,  CU 가좌공단점CU편의점/낮 근무 1명 + 야간 1명/서구 가좌동스크랩요약보기새창보기,시간협의,"시급8,720",3분전
인천 서구,  CU 가좌공단점CU편의점/낮 근무 1명 + 야간 1명/서구 가좌동스크랩요약보기새창보기,시간협의,"시급8,720",3분전
대구 중구,  CU 남산e편한점주말 주간스태프 모집스크랩요약보기새창보기,10:00~20:00,"시급8,720",3분전
인천 계양구,  CU 계산월드점계산월드점 매장관리 매니저모집스크랩요약보기새창보기,23:00~09:00,"시급8,720",4분전
인천 서구,  CU 검단제이원점CU검단제이원점에서 토.일 주말오전 근무자 구합니다스크랩요약보기새창보기,08:00~15:00,"시급8,720",4분전
경기 성남시,  CU 분당이매역점평일야간(일~목) 스탭 모집합니다스크랩요약보기새창보기,22:00~07:00,"시급8,720",5분전
경기 수원시,  CU 수원탑동하늘점평일야간. 2일근무자 구합니다스크랩요약보기새창보기,00:00~07:00,"시급8,720",6분전
서울 송파구,"  CU 잠실파크리오점평일(월,화,수)오후스탭 모집스크랩요약보기새창보기",14:00~18:00,"시급8,720",6분전
서울 강남구,  CU 논현아성점CU논현아성점 주말오전 스태프 모집합니다.스크랩요약보기새창보기,08:00~15:00,"시급8,720",6분전
서울 관악구,  CU 관악하정점일요일 오후(1일) 근무스텝 모집스크랩요약보기새창보기,15:00~22:00,"시급8,720",7분전
경기 광주시,"  CU 곤지암만선점초월에 위치한 CU에서 함께근무하실 근무자를 구합니다(주말야간,주중야간)스크랩요약보기새창보기",21:00~09:00,"시급8,720",7분전
경기 김포시,  CU 풍무웰라움점CU풍무웰라움점 평일 야간 STAFF 모집합니다.스크랩요약보기새창보기,00:00~08:00,"시급8,720",7분전
서울 중구,"  CU 신당마루점평일 야간(화,수,목 22:00~08:00) 모집합니다스크랩요약보기새창보기",22:00~08:00,"시급8,720",7분전
전국 전체,  CU 휘닉스평창점(직영)CU휘닉스평창점 당일스태프 모집(근무종료 후 바로지급) 픽업가능스크랩요약보기새창보기,17:00~23:00,"시급9,000",7분전
부산 강서구,  CU 가덕천성항점안녕하세요. CU 가덕 천성점 주말(토일)오전 근무자 모잡합니다.스크랩요약보기새창보기,시간협의,"시급8,720",8분전
전남 영광군,  CU 영광대마산단점CU 영광 대마산단점 주말 (주/야간) 구합니다스크랩요약보기새창보기,07:00~23:00,"시급8,720",8분전
서울 서초구,"  CU 방배효점주말야간(금,토)모집스크랩요약보기새창보기",21:00~07:00,"시급8,720",8분전
서울 강남구,  CU 논현아성점CU논현아성점 일요일 오후 스태프 모집합니다.스크랩요약보기새창보기,15:00~22:00,"시급8,720",8분전
서울 양천구,  CU 신월메디힐점주말야간 (금밤-토밤) 성실하신분 구합니다스크랩요약보기새창보기,23:00~09:00,"시급8,720",8분전
경기 안양시,  CU 관악부영점CU관악부영점 목요일 야간스텝모집(목요일23시-금요일8시)스크랩요약보기새창보기,23:00~08:00,"시급8,720",9분전
부산 수영구,  CU 수영SK점[주말ㆍ금토/야간] CU수영SK점에서 함께 근무할 스태프를 모집합니다스크랩요약보기새창보기,23:00~08:00,"시급8,720",9분전
서울 서대문,  CU 신촌세브란스병원점[직영점] (주말 오후) CU신촌세브란스병원점 스태프 구인스크랩요약보기새창보기,15:00~23:00,"시급8,720",10분전
서울 마포구,  CU 성산파크점CU 매장근무 (야간)스크랩요약보기새창보기,23:30~07:00,"시급8,720",12분전
경기 안양시,"  CU 관악부영점CU관악부영점 화수야간스텝모집(화23시-수06시,수23시-목06시) 문자지원스크랩요약보기새창보기",23:00~06:00,"시급8,720",12분전
서울 서대문,  CU 신촌세브란스병원점[직영점] (평일 오후 단기) CU신촌세브란스병원점 단기 스태프 구인스크랩요약보기새창보기,15:00~23:00,"시급8,720",13분전
경기 성남시,  CU 성남수진점CU성남수진점 토요일 야간알바 구합니다스크랩요약보기새창보기,22:00~09:00,"시급8,720",15분전
광주 남구,  CU 효천천년나무점09~18시  월요일 스태프 모집스크랩요약보기새창보기,09:00~18:00,"시급8,720",15분전
경기 안양시,"  CU 관악부영점CU관악부영점 일월야간스텝모집(일23시-월06시,월23시-화06시) 문자지원스크랩요약보기새창보기",23:00~06:00,"시급8,720",15분전
경남 창원시,"  CU 창원대원스타일점긴급CU창원대원(팔용)스타일(평오전,평오후,평야간, 주말오전,주말오후,야간)스크랩요약보기새창보기",09:00~21:00,"시급8,720",15분전
서울 마포구,  CU 마포구청점주말 오후 근무하실분 모십니다  여성분우대스크랩요약보기새창보기,13:00~17:00,"시급8,720",16분전
경기 수원시,  CU 탑동삼성점CU 탑동삼성점 야간타임 근무자 구합니다스크랩요약보기새창보기,시간협의,"시급8,720",17분전
강원 원주시,"  CU 원주단관점CU단관점에서 월,화,수 야간+일요일주간 STAFF 구합니다.스크랩요약보기새창보기",21:00~08:00,"시급8,720",17분전
경기 용인시,  CU 용인세브란스병원점CU용인세브란스병원점에서 주말마감(21시~01시)스텝 구합니다.스크랩요약보기새창보기,21:00~01:00,"시급8,720",17분전
서울 동대문,"  CU 장안플러스점씨유 장안 플러스점에서 주말(금,토) 오후 스텝을 모집합니다.스크랩요약보기새창보기",17:00~23:00,"시급8,720",17분전
인천 서구,  CU 검단제이원점CU검단제이원점에서 토.일 주말오전 근무자 구합니다스크랩요약보기새창보기,08:00~15:00,"시급8,720",18분전
경기 화성시,  CU 용인경기동로점용인 경기동로점 씨유 야간 스태프 모집스크랩요약보기새창보기,24:00~08:00,"시급9,000",18분전
서울 광진구,  CU 능동빌리지점CU능동빌리지점 주말오후 스태프 모집합니다.스크랩요약보기새창보기,16:00~23:00,"시급8,720",18분전
서울 영등포,  CU 영신점편의점평일야간스태프구함니다스크랩요약보기새창보기,24:00~09:00,"시급8,720",18분전
서울 광진구,  CU 능동빌리지점CU능동빌리지점 주말오후 스태프 모집합니다.스크랩요약보기새창보기,16:00~23:00,"시급8,720",19분전
충남 아산시,  CU 아산골드점평일 저녁(오후18시~24시) 근무자 모집합니다.스크랩요약보기새창보기,18:00~00:00,"시급8,720",19분전
서울 서대문,  CU 연세치과병원점CU연세치과병원점 주말 오전 스태프(07:30~13:30) 1명 모집합니다.스크랩요약보기새창보기,07:30~13:30,"시급8,720",19분전
인천 부평구,  CU 부평금호타운점CU부평금호타운점 토일 야간 스태프 모집합니다 (23:00~06:00)스크랩요약보기새창보기,23:00~06:00,"시급8,720",19분전
서울 광진구,  CU 능동빌리지점CU능동빌리지점 주말오후 스태프 모집합니다.스크랩요약보기새창보기,16:00~23:00,"시급8,720",19분전
경기 부천시,  CU 내동광교점CU내동광교점에서 야간(월~화) 23시~08시 근무하실 스텝 모십니다.스크랩요약보기새창보기,23:00~08:00,"시급8,720",20분전
