place,title,time,pay,date
전남 광양시,  (주)이랜드월드 스파오[스파오 광양점] 주 5일(35시간) STAFF 모집스크랩요약보기새창보기,시간협의,"시급8,720",2시간전
서울 강남구,  미쏘 강남점[MIXXO 강남점] 주 4일(32시간) STAFF 모집스크랩요약보기새창보기전자근로계약서리뷰점수 4점 작성된 리뷰의 좋아요 수를 10점 만점으로 표시한 점수입니다.,14:00~23:00,"시급8,720",3시간전
광주 동구,  (주)이랜드월드 미쏘 광주nc점[MIXXO 광주nc점] 주 3일(24시간) 스텝 모집스크랩요약보기새창보기전자근로계약서,시간협의,"시급8,720",4시간전
경기 오산시,  폴더 폴더[FOLDER 오산점] 주 5일(9시간) 스텝 모집스크랩요약보기새창보기,시간협의,"시급8,720",4시간전
전남 광양시,  (주)이랜드월드 스파오[스파오 광양점] 주 5일(35시간) STAFF 모집스크랩요약보기새창보기,시간협의,"시급8,720",4시간전
경기 안성시,  폴더 폴더[FOLDER 안성스타필드 점] 주 5일스크랩요약보기새창보기,시간협의,"시급8,720",5시간전
경기 성남시,  (주)이랜드월드[MIXXO 분당점] 주 4일(32시간) 스텝 모집스크랩요약보기새창보기,13:00~22:00,"시급8,720",6시간전
서울 성동구,  (주)이랜드월드 스파오[스파오 왕십리점] 주 3일(24시간) 토일월 STAFF 모집스크랩요약보기새창보기,시간협의,"시급8,720",6시간전
경기 안성시,  미쏘 안성 스타필드점[MIXXO 안성점] 주 2일(6시간30분) 단기 스텝 모집스크랩요약보기새창보기전자근로계약서,15:00~22:00,"시급8,720",7시간전
서울 강남구,  (주)이랜드월드[폴더 강남점] 주 5일스텝 모집스크랩요약보기새창보기전자근로계약서,시간협의,"시급8,720",9시간전
대구 중구,  스파오 동성로2호점[스파오 동성로2호점] 주 5일(35시간) STAFF 모집스크랩요약보기새창보기리뷰점수 2점 작성된 리뷰의 좋아요 수를 10점 만점으로 표시한 점수입니다.,시간협의,"시급8,720",10시간전
