place,title,time,pay,date
경남 창원시,"  동부셀프주유소세차,주유원 모집스크랩요약보기새창보기",12:00~18:00,"시급8,720",13시간전
전국 전체,  sk섬마을주유소셀프주유소 소장님 모십니다스크랩요약보기새창보기,08:00~18:00,"월급2,900,000",14시간전
서울 영등포,  SK행촌주유소함께일할 경력주유직원(오전.오후) 모집합니다스크랩요약보기새창보기,07:00~15:00,"시급8,920",14시간전
경기 안산시,  신양주유소주말알바 모십니다스크랩요약보기새창보기,시간협의,"시급8,800",15시간전
울산 중구,  북부순환셀프주유소주유원모집스크랩요약보기새창보기,09:00~16:00,"시급8,800",16시간전
경기 시흥시,  파워디젤주유소주유사원모집스크랩요약보기새창보기,09:30~20:00,"시급8,720",18시간전
경기 의왕시,  에이치지에너지(주)대원주유소 self【급여240만원】세차직원모집스크랩요약보기새창보기,09:00~19:00,"월급2,400,000",19시간전
경기 의왕시,  에이치지에너지(주)대원주유소 self【급여240만원】세차직원모집스크랩요약보기새창보기,09:00~19:00,"월급2,400,000",19시간전
경기 의왕시,  에이치지에너지(주)대원주유소 self【급여240만원】세차직원모집스크랩요약보기새창보기,09:00~19:00,"월급2,400,000",19시간전
광주 광산구,  SK에너지 SK수완셀프주유소주말근무자 구합니다스크랩요약보기새창보기,10:00~19:00,"시급8,720",20시간전
서울 마포구,  주)만성상사주유직원 모집합니다스크랩요약보기새창보기,13:00~21:00,"월급2,154,000",21시간전
경북 상주시,  (주)동양이룸이에스sk셀프주유소 주유원모집 오전6시~14시(상주이룸주유소)스크랩요약보기새창보기,06:00~14:00,"시급8,720",22시간전
경기 수원시,  SK드림주유소주말아르바이트 구합니다.스크랩요약보기새창보기,06:00~13:00,"시급8,720",22시간전
대전 유성구,  SK에너지 황제주유소/황제충전소(급구) 셀프주유원 및 충전원 주간 근무 / 숙식제공 1인1실 신축스크랩요약보기새창보기,시간협의,"월급2,300,000",22시간전
대전 유성구,  SK에너지 황제주유소(급구) 셀프주유원 야간 근무 / 숙식제공 1인1실 신축스크랩요약보기새창보기,시간협의,"시급8,720",22시간전
광주 광산구,  SK에너지 SK수완셀프주유소함께 일하실 분 모집 합니다.스크랩요약보기새창보기,15:00~19:00,"시급10,000",04/05
경기 의왕시,  에이치지에너지(주)대원주유소 self【급여240만원】세차직원모집스크랩요약보기새창보기,09:00~19:00,"월급2,400,000",04/04
경기 의왕시,  에이치지에너지(주)대원주유소 self【급여240만원】세차직원모집스크랩요약보기새창보기,09:00~19:00,"월급2,400,000",04/04
경기 안산시,  (주)대한석유한대역주유소한대역 직원모집스크랩요약보기새창보기,10:00~20:00,"월급2,650,000",04/03
광주 북구,  (주)광주화물터미널화물터미널주유소(꿀알바.세차기없음) 오전반 직원구해요(각화동)스크랩요약보기새창보기,06:00~13:00,"시급8,720",04/03
경남 창원시,  북창원주유소창원 북면 북창원 주유 충전원모집스크랩요약보기새창보기,10:00~16:00,"시급8,800",04/02
서울 서대문,  행촌제2주유소함께일할 직원및 아르바이트 (오전) 모집합니다스크랩요약보기새창보기,06:00~14:00,"시급8,720",04/02
광주 북구,  첨단북광주IC주유소+ + +  주유소 오후 아르바이트 모집 + + +스크랩요약보기새창보기,13:00~19:00,"시급8,720",04/02
광주 북구,  첨단북광주IC주유소+ + +  주유소 아르바이트 모집 + + +스크랩요약보기새창보기,07:00~13:00,"시급8,720",04/02
경기 안산시,  신양주유소주말알바 모십니다스크랩요약보기새창보기,시간협의,"시급8,800",04/02
광주 광산구,  SK에너지 SK수완셀프주유소함께 일하실 분 모집 합니다.스크랩요약보기새창보기,15:00~19:00,"시급10,000",04/02
광주 광산구,  SK에너지 SK수완셀프주유소함께 일하실 분 모집 합니다.스크랩요약보기새창보기,15:00~19:00,"시급10,000",04/01
경기 안성시,  연세석유주식회사셀프주유소 주유원님을 모십니다스크랩요약보기새창보기,07:00~12:00,"시급8,720",04/01
인천 서구,  청라에너지충전원 모집합니다스크랩요약보기새창보기,14:00~22:00,"월급1,901,380",04/01
서울 서대문,  행촌제2주유소함께일할 직원및 아르바이트 (오전.오후) 모집합니다스크랩요약보기새창보기,06:00~14:00,"시급8,720",04/01
충남 천안시,  동일석유(주)천안동일주유소sk천안동일주유소에서 아르바이트 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",03/31
경기 안산시,  (주)대한석유한대역주유소한대역 주말알바 구합니다스크랩요약보기새창보기,23:00~09:00,"일급130,000",03/30
경남 양산시,  SK에너지(주)천마주유소SK에너지 천마주유소 파트타임 직원을 구합니다.스크랩요약보기새창보기,15:00~18:00,"시급9,000",03/30
전국 전체,  sk섬마을주유소셀프주유소 소장님 모십니다스크랩요약보기새창보기,08:00~18:00,"월급2,900,000",03/30
경기 광주시,  서민행복주유소서민행복셀프주유소 직원모집합니다 (숙식가능)스크랩요약보기새창보기,05:00~14:00,"시급8,720",03/30
인천 전체,  (주)태평석유 동성제2주유소동성제2주유소 관리자 모집(총무)스크랩요약보기새창보기,09:00~21:00,"연봉40,000,000",03/30
경남 창원시,  북창원주유소창원 북면 북창원 주유 충전원모집스크랩요약보기새창보기,10:00~16:00,"시급8,800",03/30
경북 상주시,  SK에너지 경천주유소함께 일하실 직원구합니다.스크랩요약보기새창보기,08:30~19:00,"월급2,000,000",03/30
서울 강남구,  논현주유소세차원 주6일 (240만원)스크랩요약보기새창보기,08:00~19:00,"월급2,447,000",03/30
전북 전주시,  SK샘물주유소 (만성버거킹SK점 옆)SK샘물셀프주유소에서 직원 또는 알바를 구합니다.스크랩요약보기새창보기,11:00~18:00,"시급9,000",03/30
경북 구미시,  (주)동양이룸이에스sk셀프주유소 주유원모집 오전6시~14시(상주이룸주유소)스크랩요약보기새창보기,06:00~14:00,"시급8,720",03/29
