place,title,time,pay,date
대전 서구,"  TGIF 롯데대전점[TGIF롯데대전점] 홀, 주방 근무할 직원 구인합니다.스크랩요약보기새창보기",시간협의,"시급8,720",10시간전
경기 용인시,"  TGI FRIDAYS 롯데몰수지점TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~스크랩요약보기새창보기",시간협의,"시급8,720",13시간전
경기 용인시,"  TGI FRIDAYS 롯데몰수지점TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~스크랩요약보기새창보기",시간협의,"시급8,720",13시간전
경기 용인시,"  TGI FRIDAYS 롯데몰수지점TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~스크랩요약보기새창보기",시간협의,"시급8,720",13시간전
서울 노원구,  TGIF 노원점TGIF 노원점 [홀서빙] 파트 모집스크랩요약보기새창보기,18:00~21:30,"시급8,720",15시간전
경기 고양시,  TGIF 롯데일산점TGIF 롯데일산점 주방파트 평일+주말 마감 근무조 모집합니다스크랩요약보기새창보기,17:00~23:00,"시급8,720",16시간전
경기 수원시,  TGIF 수원롯데몰점TGI FRIDAYS 수원몰점 주방(디쉬) 파트 모집합니다.스크랩요약보기새창보기,11:00~22:30,"시급8,720",18시간전
경기 수원시,  TGIF 수원롯데몰점TGI FRIDAYS 수원몰점에서 함께 일할 주방 직원 모집합니다스크랩요약보기새창보기,17:00~22:30,"시급8,720",18시간전
대전 서구,"  TGIF 롯데대전점[TGIF롯데대전점] 홀, 주방 근무할 직원 구인합니다.스크랩요약보기새창보기",시간협의,"시급8,720",20시간전
경기 용인시,"  TGI FRIDAYS 롯데몰수지점TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~스크랩요약보기새창보기",시간협의,"시급8,720",23시간전
경기 용인시,"  TGI FRIDAYS 롯데몰수지점TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~스크랩요약보기새창보기",시간협의,"시급8,720",23시간전
대전 서구,"  TGIF 롯데대전점[TGIF롯데대전점] 홀, 주방 근무할 직원 구인합니다.스크랩요약보기새창보기",시간협의,"시급8,720",04/04
서울 강남구,  (주)롯데리아 더푸드하우스 수서역사점더푸드하우스 SRT꼬마김밥 수서역사점에서 직원 모집합니다.스크랩요약보기새창보기,15:00~22:00,"시급8,720",04/04
경기 수원시,  TGIF 수원롯데몰점TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다스크랩요약보기새창보기,17:00~22:30,"시급8,720",04/04
경기 수원시,  TGIF 수원롯데몰점TGI FRIDAYS 수원몰점에서 함께 일할 주방 직원 모집합니다스크랩요약보기새창보기,17:00~22:30,"시급8,720",04/03
경기 수원시,  TGIF 수원롯데몰점TGI FRIDAYS 수원몰점 주방(디쉬) 파트 모집합니다.스크랩요약보기새창보기,11:00~22:30,"시급8,720",04/03
경기 고양시,"  TGIF 롯데일산점TGIF 롯데일산점 홀파트 평일,주말 런치,마감조 모집합니다.스크랩요약보기새창보기",시간협의,"시급8,720",04/02
경기 고양시,  TGIF 롯데일산점TGIF 롯데일산점 주방파트 평일+주말 마감 근무조 모집합니다스크랩요약보기새창보기,17:00~23:00,"시급8,720",04/02
경기 고양시,  TGIF 롯데일산점TGIF 롯데일산점 주방파트 평일+주말 마감 근무조 모집합니다스크랩요약보기새창보기,17:00~23:00,"시급8,720",04/01
서울 강남구,  (주)롯데리아 더푸드하우스 수서역사점더푸드하우스 SRT꼬마김밥 수서역사점에서 직원 모집합니다.스크랩요약보기새창보기,15:00~22:00,"시급8,720",03/29
서울 강남구,  (주)롯데리아 더푸드하우스 수서역사점더푸드하우스 SRT소담반상 수서역사점에서 같이일할 홀직원 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",03/27
서울 영등포,  TGIF 롯데영등포점TGI FRIDAYS 롯데영등포점 파트타이머 모집합니다(홀 모집 종료)스크랩요약보기새창보기,17:30~22:30,"시급8,720",03/25
경기 고양시,  TGIF 롯데일산점TGIF 롯데일산점 주방파트 평일+주말 마감 근무조 모집합니다스크랩요약보기새창보기,17:00~23:00,"시급8,720",03/25
서울 강남구,  (주)롯데리아 더푸드하우스 수서역사점더푸드하우스 SRT꼬마김밥 수서역사점에서 일할직원 모집합니다.스크랩요약보기새창보기,07:00~16:00,"시급8,720",03/23
