place,title,time,pay,date
경기 남양주,  다산지금점길동우동 다산점에서 주방일하실분 구합니다스크랩요약보기새창보기,09:00~20:30,"월급2,700,000",34분전
부산 강서구,  부산신호점오픈예정인(5월초) 길동우동 부산신호점에서 성실한 직원분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",3시간전
부산 강서구,  부산신호점오픈예정인 길동우동 부산신호점에서 성실한 직원분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",3시간전
부산 강서구,  부산신호점오픈예정인 길동우동 부산신호점에서 성실한 직원분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",3시간전
경기 시흥시,  월곶점길동우동 월곶점 주방 김밥마실분 구합니다스크랩요약보기새창보기,시간협의,"월급2,500,000",6시간전
경기 광명시,  철산점길동우동 철산점에서 가족같은 분위기에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",6시간전
경기 광명시,  철산점길동우동 철산점에서 가족같은 분위기에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",22시간전
경기 광명시,  철산점길동우동 철산점에서 가족같은 분위기에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",22시간전
경기 광명시,  철산점길동우동 철산점에서 가족같은 분위기에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",22시간전
경기 광명시,  철산점길동우동 철산점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",04/03
경기 군포시,  산본점[길동우동 산본역점] 주방 직원 및 주방이모 모집합니다.스크랩요약보기새창보기,12:00~00:00,"월급2,750,000",04/02
서울 강동구,  길동점길동우동 본점(길동)점에서 책임감있게 근무하실 조리사님을 모십니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  길동점길동우동 본점(길동)점에서 책임감있게 근무하실 조리사님을 모십니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  길동점길동우동 본점(길동)점에서 책임감있게 근무하실 조리사님을 모십니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  천호점길동우동 본사 직영 천호점에서 역량있는 조리사님을 모집합니다~스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  천호점길동우동 본사 직영 천호점에서 역량있는 조리사님을 모집합니다~스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  천호점길동우동 본사 직영 천호점에서 역량있는 조리사님을 모집합니다~스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 영등포,  신길점길동우동 신길점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,400,000",04/02
서울 영등포,  신길점길동우동 신길점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,400,000",04/02
서울 영등포,  신길점길동우동 신길점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,400,000",04/02
서울 영등포,  신길점길동우동 신길점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,400,000",04/02
서울 영등포,  신길점길동우동 신길점에서 책임감있게 근무하실 분을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,400,000",04/02
서울 강동구,  천호점길동우동 본사 직영 천호점에서 역량있는 조리사님을 모집합니다~스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
서울 강동구,  길동점길동우동 본점(길동)점에서 책임감있게 근무하실 조리사님을 모십니다.스크랩요약보기새창보기,시간협의,"월급2,400,000",04/02
