place,title,time,pay,date
경기 성남시,  깐부치킨 모란역점깐부치킨 성남 모란역점  평일 알바 모집합니다스크랩요약보기새창보기,18:00~22:00,"시급8,720",5분전
경기 안산시,  깐부치킨 안산신길지구점주3일 실장님 모집합니다. 모집요강 참고해주세요스크랩요약보기새창보기,시간협의,"시급10,000",2시간전
서울 강서구,  깐부치킨 증미역점깐부치킨(증미역점) 주방직원 및 아르바이트 구합니다.스크랩요약보기새창보기,15:00~01:00,"월급2,500,000",5시간전
서울 강서구,  깐부치킨 마곡중앙점홀서빙/주방보조 아르바이트 모집합니다.스크랩요약보기새창보기,17:00~23:00,"시급9,000",6시간전
경기 구리시,  깐부치킨 구리장자못점문자지원/시급9000원깐부치킨/새로이 시작할 파트너님스크랩요약보기새창보기,19:00~22:00,"시급9,000",6시간전
서울 중구,  깐부치킨 을지트윈타워점(토일휴무) 깐부치킨_을지트윈타워 아르바이트 모집스크랩요약보기새창보기,18:00~24:00,"시급9,000",7시간전
서울 중구,  깐부치킨 을지트윈타워점깐부치킨_을지트윈타워 아르바이트 모집스크랩요약보기새창보기,19:00~23:00,"시급9,000",7시간전
경기 용인시,  깐부치킨 동천래미안점[깐부치킨 동천점]  주방직원 구합니다.스크랩요약보기새창보기,17:00~01:00,"월급2,000,000",04/04
서울 전체,  깐부치킨 한티점깐부치킨_한티점 주방보조 홀서빙 알바 구합니다.스크랩요약보기새창보기,18:00~01:00,"시급8,720",04/04
서울 강서구,  깐부치킨 증미역점홀서빙/주방보조 아르바이트 모집합니다.스크랩요약보기새창보기,17:00~00:30,"시급9,000",04/04
서울 영등포,  깐부치킨 동여의도점깐부치킨 동여의도점에서 아르바이트생을 모집합니다. ( 여의도 / 샛강역 )스크랩요약보기새창보기,18:00~01:00,"시급10,000",04/04
경기 용인시,  깐부치킨 동천래미안점[깐부치킨 동천점]  주방직원 구합니다.스크랩요약보기새창보기,17:00~01:00,"월급2,000,000",04/03
경기 성남시,  깐부치킨 깐부치킨판교역점깐부치킨 판교역점에서 홀서빙 모집합니다.스크랩요약보기새창보기,16:00~22:00,"시급9,500",04/03
경기 성남시,  깐부치킨 정자동까페거리점깐부치킨 정자동까페거리점에서 가족을 모집합니다.스크랩요약보기새창보기,18:00~22:00,"시급9,500",04/03
