place,title,time,pay,date
서울 강남구,"  롭스 신논현점롭스 신논현점 평일 미들(월,수,금) 메이트 모집합니다.스크랩요약보기새창보기",11:30~13:30,"시급8,720",56분전
경기 용인시,  롭스 용인역북점롯데쇼핑 롭스 용인역북점 평일 오후 메이트 채용합니다.스크랩요약보기새창보기,16:00~22:00,"시급8,720",1시간전
부산 금정구,  롭스 부산대점롭스 부산대점 평일미들 메이트 모집합니다.스크랩요약보기새창보기,15:30~21:00,"시급8,720",2시간전
경기 용인시,  롭스 용인역북점롯데쇼핑 롭스 용인역북점 평일 오후 메이트 채용합니다.스크랩요약보기새창보기,15:00~18:30,"시급8,720",2시간전
부산 금정구,  롭스 부산대점롭스 부산대점 주말 미들 메이트 모집합니다.스크랩요약보기새창보기,16:00~21:30,"시급8,720",2시간전
경기 수원시,  롭스 인계점[인계점]주말 오후아르바이트 구합니다.스크랩요약보기새창보기,14:30~22:00,"시급8,720",2시간전
충남 부여군,  롭스 부여아울렛점롭스 부여아울렛점 평일 오후 메이트 모집합니다.스크랩요약보기새창보기,14:00~17:30,"시급8,720",3시간전
대구 중구,  롭스 대구동성로점급구)롭스 대구동성로점에서 근무 하실 주말 오전 스텝 모집스크랩요약보기새창보기,10:30~15:30,"시급8,720",3시간전
경남 창원시,  롭스 창원상남점롭스 창원상남점에서 함께 할 주말오후 P.T 사원 모집합니다(이메일지원필수)스크랩요약보기새창보기,16:30~21:00,"시급8,720",3시간전
경기 용인시,  롭스 기흥아웃렛점롭스 기흥아울렛점 주말 MATE 모집합니다.스크랩요약보기새창보기,15:30~21:00,"시급8,720",3시간전
경기 수원시,  롭스 수원역사점롭스 수원역사점 평일 마감메이트 모집합니다.스크랩요약보기새창보기,18:30~22:00,"시급8,720",3시간전
경남 창원시,  롭스 창원상남점롭스 창원상남점에서 함께 할 주말오후 P.T 사원 모집합니다(이메일지원필수)스크랩요약보기새창보기,16:30~21:00,"시급8,720",3시간전
경기 수원시,  롭스 수원몰점롭스 수원몰점 평일 오전 메이트 구합니다.스크랩요약보기새창보기,11:00~14:30,"시급8,720",12시간전
광주 전체,  롭스 광주상무점롭스 광주상무점 평일 오픈 메이트 모집스크랩요약보기새창보기,12:00~17:00,"시급8,720",12시간전
부산 금정구,  롭스 부산대점롭스 부산대점 주말 미들 메이트 모집합니다.스크랩요약보기새창보기,16:00~21:30,"시급8,720",04/04
경기 양평군,  롭스 경기롯데마트양평점[급구]롯데마트경기양평점에서 평일 오전PT 모집합니다.스크랩요약보기새창보기,10:00~15:30,"시급8,720",04/04
서울 마포구,  롭스 홍대점롭스홍대점에서 주말오후 메이트 모집합니다.스크랩요약보기새창보기,16:30~23:00,"시급8,720",04/04
서울 마포구,  롭스 홍대점롭스홍대점에서 평일오후 메이트 모집합니다.스크랩요약보기새창보기,16:30~23:00,"시급8,720",04/04
부산 금정구,  롭스 부산대점롭스 부산대점 평일미들 메이트 모집합니다.스크랩요약보기새창보기,15:30~21:00,"시급8,720",04/04
경기 구리시,  롭스 구리점롭스 구리점에서 주말 오후 MATE 구합니다.스크랩요약보기새창보기,12:00~15:00,"시급8,720",04/03
경기 구리시,  롭스 구리점롭스 구리점에서 평일 오후 MATE 구합니다.스크랩요약보기새창보기,15:00~21:30,"시급8,720",04/03
서울 송파구,  롭스 잠실캐슬점롭스 잠실캐슬점 주말 마감 메이트 모집합니다:)스크랩요약보기새창보기,17:30~22:00,"시급8,720",03/31
대구 동구,  롭스 동대구역사점롭스 동대구역사점 평일 근무 메이트(오후)스크랩요약보기새창보기,17:30~21:00,"시급8,720",03/31
서울 강남구,  롭스 신논현점롭스 신논현점 평일 마감(월~금) 메이트 모집합니다.스크랩요약보기새창보기,18:30~23:00,"시급8,720",03/31
서울 강남구,  롭스 가로수길점롭스 가로수길점 주말 오후 PT 모집합니다.스크랩요약보기새창보기,17:00~22:00,"시급8,720",03/27
경기 구리시,  롭스 구리점롭스 구리점에서 주말 오후 MATE 구합니다.스크랩요약보기새창보기,16:00~20:30,"시급8,720",03/26
서울 강남구,  롭스 가로수길점롭스 가로수길점 주말 오후 PT 모집합니다.스크랩요약보기새창보기,17:00~22:00,"시급8,720",03/26
