place,title,time,pay,date
서울 은평구,  더본코리아 홍콩반점0410 응암역점홍콩반점 응앙역점에서 주방직원을 모집합니다스크랩요약보기새창보기,10:00~22:00,"월급2,300,000",4분전
서울 은평구,  더본코리아 홍콩반점0410 응암역점홍콩반점 응앙역점에서 주방직원을 모집합니다스크랩요약보기새창보기,10:00~22:00,"월급2,300,000",4분전
서울 양천구,  홍콩반점0410 양천구청점백종원의 홍콩반점 홀직원 구인합니다(주6일)스크랩요약보기새창보기,10:00~10:00,"월급2,400,000",6분전
충남 천안시,  리춘시장 천안두정점천안 두정동먹자골목/ 홀알바/ 금요일 토요일 인원충원해요스크랩요약보기새창보기,20:00~01:00,"시급9,000",7분전
경기 전체,  인생설렁탕 평촌점인생설렁탕 평촌점에서 함께 일할 주방 직원 구합니다스크랩요약보기새창보기,10:00~21:30,"월급2,400,000",9분전
강원 춘천시,  더본코리아 한신포차 춘천강원대점한신포차 춘천강원대점 주방/홀 정규직 혹은 알바 모십니다.스크랩요약보기새창보기,시간협의,"월급2,500,000",9분전
경기 안양시,  인생설렁탕 평촌점인생설렁탕 평촌점에서 함께 일할 주방 직원 구합니다스크랩요약보기새창보기,10:00~21:30,"월급2,400,000",10분전
충남 아산시,  더본코리아 한신포차 아산신용화점백종원의한신포차 아산신용화점 주말 홀알바 구합니다.스크랩요약보기새창보기,21:00~04:00,"시급9,000",12분전
부산 부산진,  더본코리아 홍콩반점0410 부산양정역(NEW)주방 보조직원 구인합니다.(홍콩반점경력자 및 취사병환영)스크랩요약보기새창보기,11:00~21:00,"월급2,400,000",14분전
전북 전주시,  롤링파스타 전북대점롤링파스타 전북대점 홀 직원 모집합니다스크랩요약보기새창보기,10:00~20:00,"월급2,400,000",14분전
전북 전주시,  롤링파스타 전북대점롤링파스타 전북대점 홀 직원 모집합니다스크랩요약보기새창보기,10:00~20:00,"월급2,400,000",14분전
부산 전체,  더본코리아 홍콩반점0410 부산영도대홍콩반점 영도대교점 (주방)10시~22시  초보.경력 급여230만 수습1개월스크랩요약보기새창보기,시간협의,"월급2,300,000",14분전
부산 부산진,  더본코리아 홍콩반점0410 부산양정역(NEW)주방업무 보조할 직원 및 파트 구인합니다.(초보자및취사병출신환영)스크랩요약보기새창보기,11:00~21:00,"월급2,400,000",14분전
충북 청주시,"  홍콩반점0410 충북대중문점주방직원 및 토, 일 각각 주말 홀알바 구인합니다.스크랩요약보기새창보기",10:30~21:30,"월급2,350,000",15분전
서울 강남구,  더본코리아 홍콩반점0410 압구정역점홍콩반점 압구정역점에서 주6일 서빙 / 주5일 주방 구합니다스크랩요약보기새창보기,10:00~21:00,"월급2,400,000",20분전
인천 부평구,  더본코리아 롤링파스타 부평로데오점롤링파스타 부평로데오점에서 주방직원을 모집합니다스크랩요약보기새창보기,10:00~22:00,"월급2,600,000",23분전
