place,title,time,pay,date
서울 영등포,"  (주)캘리스코사보텐 서여의도 평일,주말 근무하실 파트사원 모집합니다.스크랩요약보기새창보기",10:00~22:00,"시급8,720",14분전
서울 서초구,  사보텐 교대역점(주)캘리스코 사보텐 교대역점 주방 파트사원 모집합니다.스크랩요약보기새창보기,10:00~15:30,"시급8,720",1시간전
서울 영등포,  사보텐 경방타임스퀘어점사보텐 타임스퀘어점에서 파트사원 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",1시간전
서울 송파구,"  사보텐 롯데월드점[사보텐 롯데월드점] 근무하실 주말 홀, 주방 파트사원 구합니다.스크랩요약보기새창보기",12:00~21:00,"시급8,720",3시간전
서울 서초구,  사보텐 교대역점(주)캘리스코 사보텐 교대역점 주방 파트사원 모집합니다.스크랩요약보기새창보기,10:00~15:30,"시급8,720",3시간전
서울 성북구,  (주)캘리스코 현대미아점[사보텐 현대미아점] 주말 주방 파트 모집합니다스크랩요약보기새창보기,17:00~22:00,"시급8,720",3시간전
서울 전체,  (주)캘리스코 사보텐 코엑스점사보텐 코엑스점 평일 주방 아르바이트 모집합니다.스크랩요약보기새창보기,17:00~22:00,"시급8,720",4시간전
서울 강남구,"  사보텐 아워홈빌딩점[ 사보텐 아워홈빌딩 ] 주말,평일 주방 알바 모집합니다.스크랩요약보기새창보기",09:30~14:00,"시급8,720",4시간전
광주 서구,  사보텐 신세계광주점사보텐 신세계광주점 주방(주말 공휴일)스크랩요약보기새창보기,시간협의,"시급8,720",4시간전
경기 여주시,  (주)캘리스코 히바린 여주첼시점히바린 여주첼시점 홀 파트사원 모집합니다.스크랩요약보기새창보기,00:00~24:00,"시급8,720",4시간전
부산 전체,  히바린 롯데부산본점롯데부산본점 히바린 주말 홀 모집스크랩요약보기새창보기,시간협의,"시급8,720",7시간전
부산 전체,  히바린 롯데부산본점롯데부산본점 히바린 주말 주방 모집스크랩요약보기새창보기,시간협의,"시급8,720",7시간전
경기 여주시,  (주)캘리스코 히바린 여주첼시점히바린 여주첼시점 홀 파트사원 모집합니다.스크랩요약보기새창보기,00:00~24:00,"시급8,720",7시간전
서울 서초구,"  (주)캘리스코사보텐 사당점 평일, 주말 주방 홀근무하실 파트사원 모집합니다.스크랩요약보기새창보기",00:00~24:00,"시급8,720",7시간전
경기 안성시,  (주)캘리스코 스타필드안성점[히바린안성스타필드점]주말 파트사원 모집스크랩요약보기새창보기,12:00~16:00,"시급8,720",7시간전
서울 강남구,  (주)캘리스코 사보텐 코엑스점사보텐 코엑스점 평일 주방 설거지스크랩요약보기새창보기,시간협의,"시급8,720",14시간전
서울 서초구,  사보텐 교대역점(주)캘리스코 사보텐 교대역점 주방 파트사원 모집합니다.스크랩요약보기새창보기,10:00~15:30,"시급8,720",04/03
경기 여주시,  (주)캘리스코 히바린 여주첼시점히바린 여주첼시점 홀 파트사원 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",04/01
경기 의정부,  사보텐 신세계의정부점[사보텐 신세계의정부점] 주말 알바 모집합니다스크랩요약보기새창보기,시간협의,"시급8,720",04/01
서울 강남구,  (주)캘리스코타코벨 역삼점 주말 아르바이트 구합니다스크랩요약보기새창보기,12:00~16:30,"시급8,720",03/21
서울 마포구,  (주)캘리스코 사보텐 공덕역점사보텐 공덕역점 주말 마감 주방 보조 파트타이머 모집합니다.스크랩요약보기새창보기,17:00~21:00,"시급8,720",03/21
