place,title,time,pay,date
서울 서초구,  슈펜 슈펜본부[슈즈SPA 슈펜 강남역점]아르바이트 모집/직영점/주5일/주40시간 V스크랩요약보기새창보기,13:00~22:00,"월급1,920,000",1시간전
서울 관악구,  슈펜 슈펜본부[슈즈SPA 슈펜 강남역점]아르바이트 모집/직영점/주5일/주40시간 V스크랩요약보기새창보기,13:00~22:00,"월급1,920,000",1시간전
서울 송파구,  슈펜 슈펜본부[슈즈SPA 슈펜 강남역점]아르바이트 모집/직영점/주5일/주40시간 V스크랩요약보기새창보기,13:00~22:00,"월급1,920,000",1시간전
경기 부천시,  슈펜 부천 (뉴코아아울렛)[슈펜 부천점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,992,480",3시간전
경기 부천시,  슈펜 부천 (뉴코아아울렛)[슈펜 부천점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,992,480",3시간전
경기 부천시,  슈펜 부천 (뉴코아아울렛)[슈펜 부천점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,992,480",3시간전
부산 부산진,  슈펜 슈펜 서면점[슈펜 서면점] 캐셔 아르바이트 모집. 192만원/칼퇴/주5일스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
부산 부산진,  슈펜 슈펜 서면점[슈펜 서면점] 매장 아르바이트 모집. 192만원/칼퇴/주5일스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 동작구,  슈펜 강남역 1호 (점프밀라노)[슈펜 강남역 1호점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 전체,  슈펜 강남역 1호 (점프밀라노)[슈펜 강남역 1호점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 강남구,  슈펜 강남역 1호 (점프밀라노)[슈펜 강남역 1호점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 관악구,  슈펜 강남역 1호 (점프밀라노)[슈펜 강남역 1호점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 노원구,  슈펜 청량리 (롯데백화점)[슈펜 청량리점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 동대문,  슈펜 청량리 (롯데백화점)[슈펜 청량리점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 중랑구,  슈펜 청량리 (롯데백화점)[슈펜 청량리점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 성북구,  슈펜 청량리 (롯데백화점)[슈펜 청량리점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
부산 해운대,  슈펜 해운대점[슈펜 해운대점]직영점 아르바이트 채용(주5일/40시간)스크랩요약보기새창보기,13:00~22:00,"월급1,900,000",3시간전
경기 고양시,  슈펜 일산 (뉴코아아울렛)[슈펜 일산점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
경기 고양시,  슈펜 일산 (뉴코아아울렛)[슈펜 일산점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
경기 고양시,  슈펜 일산 (뉴코아아울렛)[슈펜 일산점] 주5일(40시간)_직영점_아르바이트_모집V스크랩요약보기새창보기,13:00~22:00,"월급1,922,480",3시간전
서울 전체,  슈펜 슈펜 홍대점[슈즈SPA 슈펜 홍대점] 아르바이트 모집/직영점/주5일/주40시간근무 V스크랩요약보기새창보기,09:00~18:00,"월급1,920,000",5시간전
전남 순천시,  슈펜 광양 LF몰점[슈펜 광양LF몰점] 파트너 채용/ 직영점 / 주5일/ 40시간 근무스크랩요약보기새창보기,12:00~21:00,"월급1,922,480",04/04
전남 광양시,  슈펜 광양 LF몰점[슈펜 광양LF몰점] 파트너 채용/ 직영점 / 주5일/ 40시간 근무스크랩요약보기새창보기,12:00~21:00,"월급1,922,480",04/04
전남 광양시,  슈펜 광양 LF몰점[슈펜 광양LF몰점] 파트너 채용/ 직영점 / 주말/ 7시간 근무/ 칼퇴가능스크랩요약보기새창보기,13:00~20:00,"시급8,720",04/04
서울 동작구,  슈펜 용산 아이파크몰점[슈펜 용산점] 주말 아르바이트 모집/직영점/토일/13-20시V스크랩요약보기새창보기,13:00~20:00,"시급8,720",04/03
서울 영등포,  슈펜 용산 아이파크몰점[슈펜 용산점] 주말 아르바이트 모집/직영점/토일/13-20시V스크랩요약보기새창보기,13:00~20:00,"시급8,720",04/03
서울 용산구,  슈펜 용산 아이파크몰점[슈펜 용산점] 주말 아르바이트 모집/직영점/토일/13-20시V스크랩요약보기새창보기,13:00~20:00,"시급8,720",04/03
