place,title,time,pay,date
서울 중구,  신세계푸드 노브랜드버거 서울시청점노브랜드버거 서울시청점 미들 근무자 모집스크랩요약보기새창보기,11:30~19:30,"시급8,900",3분전
서울 광진구,  노브랜드버거 건대입구점[노브랜드버거 건대입구점] 주2일 ~ 5일(요일/시간 협의)주니어파트너 모집스크랩요약보기새창보기,시간협의,"시급8,900",3분전
서울 중구,  베키아에누보 신세계백화점 본점신세계백화점 베키아에누보 본점 4층 홀 알바단기 모집(4~5월)스크랩요약보기새창보기,11:30~18:00,"시급8,720",11분전
서울 서대문,  노브랜드버거신촌점노브랜드버거 신촌점 30시간 직원 모집스크랩요약보기새창보기,16:30~23:00,"시급8,900",24분전
경기 전체,  노브랜드버거 스타필드안성점노브랜드버거 스타필드안성점 함께일할 직원 모집합니다 /보건증필수(주말)스크랩요약보기새창보기,12:00~21:00,"시급8,900",32분전
서울 중구,  노브랜드버거 을지로4가역점NBB 을지로4가역점 평일 마감 근무자 구인스크랩요약보기새창보기,18:00~22:30,"시급8,900",36분전
부산 해운대,  베키아에누보 센텀시티점신세계백화점 베키아에누보 평일알바 모집스크랩요약보기새창보기,10:00~16:00,"시급8,720",47분전
서울 성북구,  노브랜드버거 종로구청점노브랜드버거 종로구청점 평일/주말 근무자 모집스크랩요약보기새창보기,00:00~24:00,"시급8,900",53분전
서울 서초구,  노브랜드버거 남부터미널점NBB 남부터미널점 평일 파트타이머 모집스크랩요약보기새창보기,시간협의,"시급8,900",54분전
서울 서초구,  신세계푸드 NBB 남부터미널점NBB 남부터미널 주말 알바(금 토 일) 모집스크랩요약보기새창보기,시간협의,"시급8,900",56분전
서울 금천구,  신세계푸드 NBB 가산디지털단지점노브랜드버거 가산디지털단지점 파트타이머 모집스크랩요약보기새창보기,16:00~20:00,"시급8,900",57분전
서울 금천구,  신세계푸드 NBB 가산디지털단지점노브랜드버거 가산디지털단지점 파트타이머 모집스크랩요약보기새창보기,14:30~22:30,"시급8,900",58분전
경기 부천시,  (주)신세계푸드 노브랜드버거 마곡점[노브랜드버거 마곡점] 평일 중간조 근무자 모집스크랩요약보기새창보기,10:00~14:00,"시급8,900",1시간전
경기 고양시,  노브랜드버거 고양신원점(가맹)노브랜드버거 고양신원점(가맹) 직원모집스크랩요약보기새창보기,시간협의,"월급2,200,000",2시간전
인천 남동구,  노브랜드버거 인천구월점[NBB 인천구월점] 주5일 주말포함 (시간협의가능)스크랩요약보기새창보기,16:00~22:30,"시급8,900",2시간전
서울 광진구,  (주)신세계푸드 노브랜드버거 역삼역점[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",2시간전
서울 전체,  (주)신세계푸드 노브랜드버거 역삼역점[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",2시간전
서울 송파구,  (주)신세계푸드 노브랜드버거 역삼역점[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",2시간전
서울 서초구,"  노브랜드버거 방배역점노브랜드버거 방배역점에서 토,일,월 아르바이트생을모집합니다.스크랩요약보기새창보기",13:30~22:30,"시급8,900",2시간전
서울 관악구,  (주)신세계푸드 노브랜드버거 역삼역점[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",2시간전
경기 부천시,  (주)신세계푸드 노브랜드버거 마곡점[노브랜드버거 마곡점] 평일 마감 근무자 모집스크랩요약보기새창보기,06:00~23:00,"시급8,900",2시간전
