place,title,time,pay,date
대구 전체,  엔제리너스 대구칠성시장역점엔제리너스 칠성시장역점에서 직원 모집합니다.(주5일근무)스크랩요약보기새창보기,시간협의,"월급1,830,000",8시간전
전북 익산시,  엔제리너스 익산고봉로점엔제리너스 익산고봉로점 (마동) 알바구해요~~스크랩요약보기새창보기,12:00~15:00,"시급8,720",12시간전
경기 수원시,  엔제리너스 수원고색D/I점엔제리너스 수원고색DI점에서 함께일할 바리스타 모집스크랩요약보기새창보기,18:00~21:00,"시급8,720",14시간전
서울 송파구,  엔제리너스 건대영존점엔제리너스 대전대 서울한방병원점 에서 일할 엔젤을 모집합니다스크랩요약보기새창보기,08:00~22:00,"시급8,720",14시간전
서울 강남구,  엔제리너스 수서환승통로점엔제리너스 수서환승통로점에서 같이 일하실 분~스크랩요약보기새창보기,시간협의,"시급8,720",14시간전
서울 광진구,"  엔제리너스 건대역점엔제리너스 건대역점 오전, 낮시간 함께하실분스크랩요약보기새창보기",08:00~15:00,"시급8,720",17시간전
대구 서구,  엔제리너스 대구북비산네거리점엔제리너스 북비산네거리점 부점장 모집스크랩요약보기새창보기,시간협의,"월급1,830,000",17시간전
서울 송파구,  엔제리너스 건대영존점엔제리너스 대전대 서울한방병원점 에서 일할 엔젤을 모집합니다스크랩요약보기새창보기,08:00~22:00,"시급8,720",18시간전
전북 군산시,  엔제리너스 롯데몰군산주말 아르바이트 모집스크랩요약보기새창보기,14:00~21:00,"시급8,720",18시간전
전북 군산시,  엔제리너스 롯데몰군산주말 아르바이트 모집스크랩요약보기새창보기,14:00~21:00,"시급8,720",18시간전
서울 송파구,  엔제리너스 잠실롯데월드몰B1점잠실롯데월드몰B1층점에서 함께 일하실 분 구해요스크랩요약보기새창보기,10:00~18:00,"시급8,720",20시간전
서울 강남구,  엔제리너스 수서환승통로점엔제리너스 수서환승통로점에서 같이 일하실 분~스크랩요약보기새창보기,시간협의,"시급8,720",21시간전
서울 강남구,  엔제리너스 수서환승통로점엔제리너스 수서환승통로점에서 같이 일하실 분~스크랩요약보기새창보기,시간협의,"시급8,720",21시간전
서울 강남구,  엔제리너스 수서환승통로점엔제리너스 수서환승통로점에서 같이 일하실 분~스크랩요약보기새창보기,시간협의,"시급8,720",21시간전
서울 송파구,  엔제리너스 건대영존점엔제리너스 대전대 서울한방병원점 에서 일할 엔젤을 모집합니다스크랩요약보기새창보기,08:00~22:00,"시급8,720",22시간전
서울 중구,  엔제리너스 서울역사점엔제리너스 서울역사점에서 엔젤 모집합니다~스크랩요약보기새창보기,12:00~23:30,"시급8,720",22시간전
서울 중구,  엔제리너스 서울역사점엔제리너스 서울역사점에서 롱런할 엔젤 모집합니다~스크랩요약보기새창보기,12:00~23:30,"시급8,720",04/05
대구 전체,  엔제리너스 칠곡구암역점엔제리너스 칠곡구암역점 심야직원구함(주 5일근무)스크랩요약보기새창보기,23:30~08:00,"월급2,180,000",04/02
대구 전체,  엔제리너스 칠곡구암역점엔제리너스 칠곡구암역점 직원 구함(주 5일근무)스크랩요약보기새창보기,시간협의,"월급1,830,000",04/02
충남 논산시,  엔제리너스 논산점엔제리너스 논산점 마감 아르바이트스크랩요약보기새창보기,18:30~23:00,"시급8,720",04/02
울산 북구,  엔제리너스 울산명촌점엔제리너스 울산 명촌점 즐겁게 일할 바리스타 구합니다.스크랩요약보기새창보기,09:30~15:00,"시급8,720",04/01
부산 기장군,  엔제리너스 롯데아울렛동부산1층점엔제리너스 롯데몰동부산1층점 정직원(매니저) 모집스크랩요약보기새창보기,13:00~22:00,"월급1,900,000",03/31
충남 논산시,  엔제리너스 논산점엔제리너스 논산점 마감 아르바이트스크랩요약보기새창보기,18:30~23:00,"시급8,720",03/30
울산 중구,  엔제리너스 울산병영점울산병영점에서 관리자님을 모집합니다스크랩요약보기새창보기,시간협의,"월급1,830,000",03/27
경북 경주시,  엔제리너스 경주D/T점엔제리너스 경주D/T점에서 함께 근무할 매니저를 모집합니다.스크랩요약보기새창보기,14:00~23:00,"월급1,850,000",03/26
부산 강서구,  엔제리너스 김해공항점[문자 지원] 엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.스크랩요약보기새창보기,06:00~22:00,"시급8,800",03/20
