place,title,time,pay,date
서울 강남구,  폴바셋 청담점폴바셋 청담점 정규직 신입바리스타 모집스크랩요약보기새창보기,06:30~22:30,"시급9,000",7분전
서울 전체,  폴바셋 구로지밸리몰점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급9,000",8분전
서울 전체,  폴바셋 서초본점[폴 바셋 서초본점] 정규 신입 바리스타 모집스크랩요약보기새창보기,06:30~22:00,"시급9,000",23분전
서울 전체,  폴바셋 GFC점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급9,000",24분전
서울 종로구,  폴바셋 종각역점[폴 바셋 종각역점] 정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급9,000",24분전
경기 의정부,  송반(엠즈씨드)[신규오픈] 한식당 홀(FOH) 정규직 직원 채용스크랩요약보기새창보기,09:00~20:30,"월급2,176,200",58분전
경기 김포시,  폴바셋 현대아울렛김포점프리미엄 커피전문점 정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,08:00~22:00,"시급9,000",1시간전
경기 고양시,  폴바셋 스타필드고양1호점[폴 바셋 스타필드 고양 1호점] 파트타이머 모집스크랩요약보기새창보기,08:00~23:00,"시급8,720",1시간전
서울 전체,  폴바셋 구로지밸리몰점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급9,000",1시간전
경기 파주시,  폴바셋 파주프리미엄아울렛점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급8,800",1시간전
경기 고양시,  폴바셋 스타필드 고양 1호점[폴 바셋 스타필드 고양 1호점] 정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,08:00~23:00,"시급9,000",1시간전
부산 전체,  폴 바셋 롯데백화점 광복점[폴 바셋 롯데백화점 광복점] 정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,09:00~23:00,"시급9,000",1시간전
경기 고양시,  폴바셋 김포구래DT점[신규오픈] 폴바셋 정규직 신입 바리스타 모집스크랩요약보기새창보기,07:00~23:30,"시급9,000",2시간전
경기 고양시,  폴바셋 김포구래DT점[신규오픈] 폴바셋 정규직 신입 바리스타 모집스크랩요약보기새창보기,07:00~23:30,"시급9,000",2시간전
경기 김포시,  폴바셋 김포구래DT점[신규오픈] 폴바셋 정규직 신입 바리스타 모집스크랩요약보기새창보기,07:00~23:30,"시급9,000",2시간전
서울 관악구,  폴바셋 NC타워삼성점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,06:30~22:00,"시급9,000",2시간전
서울 강남구,  폴바셋 NC타워삼성점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,06:30~22:00,"시급9,000",2시간전
서울 전체,  폴바셋 구로지밸리몰점정규 신입(트레이니) 바리스타 모집스크랩요약보기새창보기,07:00~23:00,"시급9,000",2시간전
