place,title,time,pay,date
경기 전체,  자라리테일코리아[ZARA 고양 스타필드] 주 14시간 Part Timer 채용공고스크랩요약보기새창보기,시간협의,"시급11,370",7시간전
서울 전체,  자라리테일코리아[ZARA 명동 눈스퀘어/엠플라자] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",7시간전
서울 전체,  자라리테일코리아[ZARA 잠실/강남/코엑스] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",7시간전
경기 전체,  마시모듀띠코리아[Massimo Dutti 고양 스타필드] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",04/04
서울 전체,  자라리테일코리아[Massimo Dutti 잠실/코엑스/여의도] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",04/04
경기 전체,  자라리테일코리아[ZARA 안성 스타필드] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",04/04
경기 전체,  자라리테일코리아[ZARA 안성 스타필드] 주 30/20시간 Part Timer 채용스크랩요약보기새창보기,시간협의,"시급11,370",04/04
부산 전체,  자라리테일코리아[ZARA 부산 광복점] 주14시간 Part Timer 채용스크랩요약보기새창보기,시간협의,"시급11,370",04/04
전북 전체,  자라리테일코리아[ZARA 전주 노벨리나점] 주30시간 Part Timer 채용스크랩요약보기새창보기,10:30~17:30,"시급11,370",04/04
광주 전체,  자라리테일코리아[ZARA 광주 충장로] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",04/04
서울 전체,  자라리테일코리아[ZARA여의도 IFC몰/ 용산 I-park몰] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",03/30
경기 전체,  자라리테일코리아[ZARA 고양 스타필드] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",03/30
경기 전체,  자라리테일코리아[ZARA 하남 스타필드] 정직원 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",03/30
경기 화성시,  마시모두띠코리아[Massimo Dutti 동탄 롯데백화점] 오픈멤버 채용 공고스크랩요약보기새창보기,시간협의,"연봉24,000,000",03/27
경기 전체,  마시모두띠코리아[Massimo Dutti 고양 스타필드] 주14시간 Part Timer채용스크랩요약보기새창보기,11:30~19:30,"시급11,370",03/27
