place,title,time,pay,date
서울 구로구,  주식회사 케이컴퍼니[현대 신도림 디큐브시티] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,11:00~21:00,"월급1,900,000",3시간전
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 생산관리 사무보조 신입 채용스크랩요약보기새창보기,10:00~19:00,"월급1,950,000",12시간전
서울 강동구,  주식회사 케이컴퍼니[천호 엔터식스] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",17시간전
경기 안산시,  주식회사 케이컴퍼니[안산롯데] 피그먼트 의류매장 행사알바 채용스크랩요약보기새창보기,10:00~20:00,"시급8,720",19시간전
경기 안산시,  주식회사 케이컴퍼니[안산롯데] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",19시간전
서울 강동구,  주식회사 케이컴퍼니[천호 엔터식스] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",21시간전
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 단순노무/의류 검품 및 물류 채용스크랩요약보기새창보기,09:00~18:00,"일급80,000",04/02
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 단순노무/의류 검품 및 물류 채용스크랩요약보기새창보기,09:00~18:00,"일급80,000",04/02
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 단순노무/의류 검품 및 물류 채용스크랩요약보기새창보기,09:00~18:00,"시급8,720",03/30
경북 포항시,  주식회사 케이컴퍼니[포항 롯데] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",03/30
경기 안산시,  주식회사 케이컴퍼니[안산롯데] 피그먼트 의류매장 행사알바 채용스크랩요약보기새창보기,10:00~20:00,"시급8,720",03/29
경기 안산시,  주식회사 케이컴퍼니[안산롯데] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",03/29
서울 동대문,  주식회사 케이컴퍼니[롯데 청량리] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",03/28
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 단순노무/의류 검품 및 물류 채용스크랩요약보기새창보기,09:00~18:00,"시급8,720",03/27
경기 수원시,  주식회사 케이컴퍼니[수원애경] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"시급8,720",03/27
경기 화성시,  주식회사 케이컴퍼니[경기/동탄] 단순노무/의류 검품 및 물류 채용스크랩요약보기새창보기,09:00~18:00,"시급8,720",03/21
서울 동대문,  주식회사 케이컴퍼니[롯데 청량리] 피그먼트 의류매장 STAFF 채용스크랩요약보기새창보기,10:00~20:00,"월급1,900,000",03/21
