place,title,time,pay,date
충남 천안시,  한경기획 청년다방 천안두정역점주방보조(남)주말ㅡ토.일 알바구함스크랩요약보기새창보기,11:00~21:30,"시급9,000",3분전
경기 성남시,  한경기획 청년다방 판교테크노밸리점청년다방판교점  평일 점심 홀서빙 알바 구합니다.스크랩요약보기새창보기,11:00~15:00,"시급10,000",19분전
부산 해운대,  한경기획 청년다방 장산점[분식]주방경력정직원(주5일/210만원)모심스크랩요약보기새창보기,11:00~23:00,"월급2,100,000",2시간전
충남 천안시,  한경기획 청년다방 천안불당점청년다방 서빙및주방직원 및 평일오후알바구함스크랩요약보기새창보기,10:00~22:00,"월급2,600,000",2시간전
인천 부평구,"  한경기획 청년다방 인천삼산점청년다방 인천삼산점 홀직원(주5일, 45시간) 구합니다스크랩요약보기새창보기",10:00~22:00,"월급2,100,000",3시간전
서울 은평구,  한경기획 청년다방 응암이마트점평일오후 알바 모집스크랩요약보기새창보기,18:30~24:00,"시급8,720",4시간전
강원 강릉시,  한경기획 청년다방 강릉금학점강릉 청년다방 주말 아르바이트 구합니다.(상세 내용 참고)스크랩요약보기새창보기,14:30~00:00,"시급8,720",4시간전
충남 천안시,  한경기획 청년다방 천안불당점청년다방 서빙및주방직원 및 평일오후알바구함스크랩요약보기새창보기,10:00~22:00,"월급2,600,000",4시간전
경기 성남시,  한경기획 청년다방 서현로데오점청년다방 서현역점 주말오후급구 시급 9000원스크랩요약보기새창보기,17:00~21:30,"시급9,000",5시간전
경기 성남시,  한경기획 청년다방 서현로데오점청년다방 서현역점 평일오후 급구 시급 10465원스크랩요약보기새창보기,17:00~21:30,"시급10,465",5시간전
경기 성남시,  한경기획 청년다방 서현로데오점청년다방 서현역점 평일오후 급구 시급 10465원스크랩요약보기새창보기,17:00~21:30,"시급10,465",5시간전
충남 천안시,  한경기획 청년다방 천안두정역점홀서빙(여)평일오후 및 주말알바구함스크랩요약보기새창보기,17:00~22:00,"시급8,720",6시간전
경기 용인시,  한경기획 청년다방 용인동천점청년다방 용인동천점 홀알바모집스크랩요약보기새창보기,18:00~22:00,"시급8,800",6시간전
전북 전주시,  한경기획 청년다방 전주송천점청년다방 송천점 파트타임 알바모집 (주방보조)스크랩요약보기새창보기,18:00~22:00,"시급8,720",6시간전
충남 천안시,  한경기획 청년다방 천안불당점청년다방 서빙및주방직원 및 평일오후알바구함스크랩요약보기새창보기,10:00~22:00,"월급2,600,000",7시간전
충남 천안시,  한경기획 청년다방 천안불당점청년다방 불당점 서빙및주방직원구함 (월 260만)스크랩요약보기새창보기,10:00~22:00,"월급2,600,000",7시간전
서울 은평구,  한경기획 청년다방 응암이마트점평일 수목금 알바 모집스크랩요약보기새창보기,10:00~16:00,"시급8,720",8시간전
