place,title,time,pay,date
경기 평택시,  할리스커피 평택지산점[신규오픈]할리스커피 평택지산점 평일pt 모집스크랩요약보기새창보기,09:00~16:00,"시급8,720",10분전
인천 미추홀,  할리스커피 인천주안역점할리스커피 인천주안역점 평일미들pt 모집합니다(수목금)스크랩요약보기새창보기,12:00~17:00,"시급8,720",16분전
인천 미추홀,  할리스커피 인천주안역점할리스커피 인천주안역점 주말미들pt 모집합니다(토일)스크랩요약보기새창보기,12:00~18:00,"시급8,720",16분전
인천 미추홀,  할리스커피 인천주안역점할리스커피 인천주안역점 pt 모집합니다(금토일)스크랩요약보기새창보기,12:00~23:00,"시급8,720",16분전
서울 전체,  할리스커피 종로DGB점[할리스 종로DGB점] 평일 미들 PT 구합니다.스크랩요약보기새창보기,12:00~14:00,"시급8,720",39분전
세종 가람동,  할리스커피 세종가람DT점세종 할리스 가람DT점 마감PT채용스크랩요약보기새창보기,18:00~22:00,"시급8,720",43분전
서울 노원구,  할리스커피 수락산역점할리스 수락산역점 평일마감 직원 모집스크랩요약보기새창보기,시간협의,"시급8,720",52분전
경기 하남시,  할리스커피 하남미사역점할리스커피 하남미사역점 정직원 모집합니다.스크랩요약보기새창보기,시간협의,"월급1,822,480",1시간전
대전 서구,  할리스커피 대전만년점할리스커피 만년점 PT 모집스크랩요약보기새창보기,시간협의,"시급8,720",1시간전
서울 성동구,  할리스커피 한양대시티빌점할리스커피 한양대시티빌점직원및알바구함스크랩요약보기새창보기,10:00~23:00,"시급8,720",1시간전
서울 강남구,  할리스커피 코엑스점할리스 코엑스점 마감파트타이머 모집합니다.스크랩요약보기새창보기,18:00~22:00,"시급8,720",1시간전
서울 노원구,  할리스커피 당고개역점할리스 당고개역점에서 평일 PT를 모집합니다.스크랩요약보기새창보기,12:30~15:30,"시급8,720",2시간전
경기 하남시,  할리스커피 하남미사역점할리스커피 하남미사역점 매니저 모집합니다.스크랩요약보기새창보기,시간협의,"연봉24,500,000",2시간전
서울 관악구,  할리스커피 신림사거리점할리스커피신림사거리점에서 주말  미들 P/T를 구인합니다스크랩요약보기새창보기,13:00~19:00,"시급8,720",2시간전
서울 강남구,  할리스커피 수서점할리스커피수서점  평일  마감 PT를 구인합니다스크랩요약보기새창보기,17:00~22:00,"시급8,720",2시간전
강원 속초시,  할리스커피 속초영랑해변점할리스커피 속초영랑해변점 주말미들 파트타이머 모집합니다.스크랩요약보기새창보기,11:00~18:00,"시급8,720",2시간전
서울 강남구,  할리스커피 코엑스점할리스 코엑스점 마감파트타이머 모집합니다.스크랩요약보기새창보기,18:00~22:00,"시급8,720",2시간전
경기 파주시,  할리스커피 파주운정역점할리스 파주운정역점 평일 마감PT 모집합니다.스크랩요약보기새창보기,17:00~23:00,"시급8,720",2시간전
서울 종로구,"  할리스커피 대명거리점할리스커피 대명거리점에서 목, 금, 일 마감 PT를 모집합니다.스크랩요약보기새창보기",20:00~22:00,"시급8,720",2시간전
서울 마포구,  할리스커피 홍대역2번출구점할리스커피 홍대역2번출구점에서 함께 일할매지저님 모십니다.스크랩요약보기새창보기,시간협의,"월급1,850,000",2시간전
경남 창원시,  할리스커피 할리스 진해속천점진해속천점 정직원 구합니다.월6회휴무(주말제외)스크랩요약보기새창보기,09:00~18:00,"월급2,000,000",2시간전
경기 양주시,  할리스커피 양주고읍점할리스커피 양주고읍점 평일(월화수목) 마감 PT 모집합니다 (경력자)스크랩요약보기새창보기,20:00~22:00,"시급8,720",2시간전
경기 화성시,  할리스커피 화성융건릉점할리스화성융건릉점 평일 마감 파트타임 모집합니다.스크랩요약보기새창보기,18:00~22:00,"시급8,720",3시간전
서울 중구,  할리스커피 덕수궁점[할리스커피] 덕수궁점 마감 PT 모집스크랩요약보기새창보기,19:00~22:00,"시급8,720",3시간전
경기 남양주,"  할리스커피 다산센트럴점할리스커피 다산 센트럴점 (수,목,금) PT 모집합니다.스크랩요약보기새창보기",18:00~22:00,"시급8,720",3시간전
서울 전체,  할리스커피 청담삼성로점할리스커피 청담삼성로점(오픈예정)에서 함께 근무 할 근무자 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",3시간전
서울 영등포,  할리스커피 여의도하나투자점할리스커피 여의도 하나금융투자점에서 평일마감PT를 모집합니다.스크랩요약보기새창보기,17:00~21:00,"시급8,720",3시간전
서울 강북구,  할리스커피 미아역점할리스커피 미아역점 신규 매장에서 함께 일할 경력 근무자를 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",3시간전
전남 순천시,  할리스커피 순천금당점순천 할리스 금당점 아르바이트생 모집스크랩요약보기새창보기,18:00~22:00,"시급8,720",3시간전
경기 김포시,"  할리스커피 김포디원시티점할리스 김포디원시티점 (양촌역,구래역) 평일/주말 미들 PT 모집스크랩요약보기새창보기",시간협의,"시급8,720",3시간전
서울 전체,  할리스커피 종로DGB점[할리스 종로DGB점] 평일 미들 PT 구합니다.스크랩요약보기새창보기,12:00~14:00,"시급8,720",3시간전
경기 부천시,  할리스커피 부천중동점할리스커피 부천중동점 평일(월~수)미들 경력자 아르바이트 모집합니다.스크랩요약보기새창보기,12:00~16:00,"시급8,720",3시간전
경남 창원시,"  할리스커피 상남중앙점상남중앙점에서 목요일,일요일(2일) 마감 PT를 모집합니다.스크랩요약보기새창보기",19:30~22:30,"시급8,720",3시간전
서울 영등포,  할리스커피 구로디지털뉴스테이점할리스커피 구디뉴스테이점 주말오픈 PT 모집합니다.스크랩요약보기새창보기,10:00~13:30,"시급8,720",4시간전
서울 노원구,  할리스커피 당고개역점할리스 당고개역점에서 평일 PT를 모집합니다.스크랩요약보기새창보기,12:30~15:30,"시급8,720",4시간전
서울 관악구,  할리스커피 낙성대역점할리스커피 낙성대역점 목~금 마감 PT 모집스크랩요약보기새창보기,16:00~22:00,"시급8,720",4시간전
경남 창원시,  할리스커피 마산터미널점할리스커피 마산터미널점 평일 오후PT 모집합니다.스크랩요약보기새창보기,12:00~15:00,"시급8,720",4시간전
서울 전체,  할리스커피 청담삼성로점할리스커피 청담삼성로점(오픈예정)에서 함께 근무 할 근무자 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",4시간전
서울 서초구,  할리스커피 교대역점할리스 교대역점 일요일 08-15 (30분 휴식) pt 1명 모집합니다.스크랩요약보기새창보기,08:00~15:00,"시급8,720",4시간전
서울 노원구,  할리스커피 당고개역점할리스 당고개역점에서 평일 PT를 모집합니다.스크랩요약보기새창보기,12:30~15:30,"시급8,720",4시간전
서울 전체,  할리스커피 청담삼성로점할리스커피 청담삼성로점(오픈예정)에서 함께 근무 할 근무자 모집합니다.스크랩요약보기새창보기,시간협의,"시급8,720",5시간전
인천 미추홀,  할리스커피 인천주안역점할리스커피 인천주안역점 pt 모집합니다(금토일)스크랩요약보기새창보기,12:00~23:00,"시급8,720",5시간전
인천 미추홀,  할리스커피 인천주안역점할리스커피 인천주안역점 주말미들pt 모집합니다(토일)스크랩요약보기새창보기,12:00~18:00,"시급8,720",5시간전
대구 수성구,  할리스커피 대구수성네거리점할리스커피수성네거리점 매니저 및 pt채용공고스크랩요약보기새창보기,시간협의,"시급8,720",5시간전
경기 남양주,  할리스커피 다산센트럴점할리스커피 다산 센트럴점 평일마감 PT 모집합니다.스크랩요약보기새창보기,18:00~22:00,"시급8,720",5시간전
서울 서초구,  할리스커피 교대역점할리스 교대역점 일요일 08-15 (30분 휴식) pt 1명 모집합니다.스크랩요약보기새창보기,08:00~15:00,"시급8,720",5시간전
서울 성동구,  할리스커피 한양대시티빌점할리스커피 한양대시티빌점직원및알바구함스크랩요약보기새창보기,10:00~23:00,"시급8,720",9시간전
경기 양주시,  할리스커피 양주고읍점할리스커피 양주고읍점 평일(월화수목) 마감 PT 모집합니다 (경력자)스크랩요약보기새창보기,20:00~22:00,"시급8,720",13시간전
광주 북구,  할리스커피 광주전남대점할리스 광주전남대점 토-일 미들 파트타이머 모집합니다.스크랩요약보기새창보기,12:00~14:00,"시급8,720",15시간전
서울 중구,  할리스커피 덕수궁점[할리스커피] 덕수궁점 마감 PT 모집스크랩요약보기새창보기,19:00~22:00,"시급8,720",18시간전
